number of equals = 2057
number of contains = 361
Kind of Match	Subject	Relation	Object	Sentence	Context
Equal	http://dbpedia.org/resource/Dionisio_Loya_Plancarte	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Knights_Templar_Cartel	Dionisio Loya Plancarte (born 21 October 1955) is a Mexican drug lord and high-ranking leader of the **Knights Templar Cartel**, a quasi-religious criminal organization based in the state of Michoacán.	(This name uses Spanish naming customs: the first or paternal family name is Loya and the second or maternal family name is Plancarte.) Dionisio Loya Plancarte (born 21 October 1955) is a Mexican drug lord and high-ranking leader of the Knights Templar Cartel, a quasi-religious criminal organization based in the state of Michoacán. He is the uncle of Enrique Plancarte Solís, another former high-ranking leader of the cartel. Since 2009, he was listed as one of Mexico's 37 most-wanted drug lords, with a $30 million pesos (USD $2.3 million) bounty for information leading to his capture. He was arrested by the Mexican Army in Morelia, Michoacán on 27 January 2014.	
Equal	http://dbpedia.org/resource/Sinéad_Ní_Neachtain	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Galway_Bay_FM	Following that she joined the **Galway Bay FM** newsroom and produced the station's current affairs programme.	Sinéad Ní Neachtain (born 1977) is an Irish editor. Ní Neachtain is a former editor of Galway Now magazine. A native of Inverin, she is part of a family of five. She re-located to Boston, Massachusetts with her family when she was ten years old, but returned two years later, and attended Coláiste Chroí Mhuire Secondary School in Spiddal. Following her graduation from Dublin City University (DCU) with an Honours Degree in Journalism, Sinéad began her broadcasting career with RTÉ. She started working on RTÉ 2fm and subsequently moved to RTÉ Radio 1 where she worked on Morning Ireland. She spent three to four years as a sub-editor on Radio One News and was the youngest newsreader in the country at 20 years of age. During this time, she also edited Lifetime and Citywide News Newspapers. Moving back to Galway, she undertook a Diploma in Irish and Computers and joined the newsroom in TG4 as a television reporter. Following that she joined the Galway Bay FM newsroom and produced the station's current affairs programme. In 2005, she became Group Editor of Golden Egg Productions, which publishes Galway Now, Limerick Now and Weddings Now magazines. She is married to broadcaster Jimmy Norman (Galway Bay FM).	
Contains	http://dbpedia.org/resource/Sinéad_Ní_Neachtain	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Galway_Bay_FM	She is married to broadcaster Jimmy Norman (**Galway Bay FM**).	Sinéad Ní Neachtain (born 1977) is an Irish editor. Ní Neachtain is a former editor of Galway Now magazine. A native of Inverin, she is part of a family of five. She re-located to Boston, Massachusetts with her family when she was ten years old, but returned two years later, and attended Coláiste Chroí Mhuire Secondary School in Spiddal. Following her graduation from Dublin City University (DCU) with an Honours Degree in Journalism, Sinéad began her broadcasting career with RTÉ. She started working on RTÉ 2fm and subsequently moved to RTÉ Radio 1 where she worked on Morning Ireland. She spent three to four years as a sub-editor on Radio One News and was the youngest newsreader in the country at 20 years of age. During this time, she also edited Lifetime and Citywide News Newspapers. Moving back to Galway, she undertook a Diploma in Irish and Computers and joined the newsroom in TG4 as a television reporter. Following that she joined the Galway Bay FM newsroom and produced the station's current affairs programme. In 2005, she became Group Editor of Golden Egg Productions, which publishes Galway Now, Limerick Now and Weddings Now magazines. She is married to broadcaster Jimmy Norman (Galway Bay FM).	
Equal	http://dbpedia.org/resource/Jacqui_Hurley	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Raidió_Teilifís_Éireann	Jacqui Hurley (born 1984, in County Cork) is an Irish athlete, sports manager, sports broadcaster and chat show host employed by **Raidió Teilifís Éireann** (RTÉ).	Jacqui Hurley (born 1984, in County Cork) is an Irish athlete, sports manager, sports broadcaster and chat show host employed by Raidió Teilifís Éireann (RTÉ). She is the co-presenter of Sunday Sport on RTÉ Radio 1 and presents the sports news on RTÉ television news each day. Hurley has played at the highest level in the sports of basketball and camogie and currently manages the Irish under-16 women's basketball team. On 1 February 2009, she became the first female to present a sports show on RTÉ Radio when she began working on Sunday Sport.	
Equal	http://dbpedia.org/resource/Joe_Duffy	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Raidió_Teilifís_Éireann	Joseph "Joe" Duffy (born 27 January 1956) is an Irish broadcaster employed by **Raidió Teilifís Éireann** (RTÉ).	Joseph "Joe" Duffy (born 27 January 1956) is an Irish broadcaster employed by Raidió Teilifís Éireann (RTÉ). One of RTÉ's highest-earning stars, he is the current presenter of Liveline, which is broadcast on RTÉ Radio 1, Monday - Fridays between 13:45 and 15:00. He has a history as a student activist. As President of the Union of Students in Ireland (U.S.I.) he was once jailed for an occupation in which he participated. He describes himself as a Christian socialist who advocates justice "very much based on Christian teaching and principles". Duffy retraced his Christian roots in 2010 by hosting an RTÉ One TV show called Joe Duffy's Spirit Level. The show discussed the great faith of the Irish people and various religions present in the country, and also queried whether David McSavage's satirical portrayal of Duffy could be considered blasphemous. Duffy is married, has triplets and resides in Clontarf, Dublin. He won a Jacob's Award in 1992.	
Equal	http://dbpedia.org/resource/Michael_Murphy_(journalist)	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Raidió_Teilifís_Éireann	He works for **Raidió Teilifís Éireann** (RTÉ) and is considered "one of the most popular voices on radio".	Michael Murphy (born 1948 or 1949) is an Irish journalist, newsreader, psychoanalyst and author. He works for Raidió Teilifís Éireann (RTÉ) and is considered "one of the most popular voices on radio". Murphy is from Castlebar, County Mayo. He is the brother of Fintan, Tom, John and Kieran. Kieran was killed by cancer aged 42. Murphy has lectured at both St. Vincent's University Hospital and University College Dublin (UCD). He was diagnosed with prostate cancer in 2007. He published his autobiography At Five in the Afternoon: My Battle with Male Cancer in 2009. It was shortlisted for the Bord Gáis Energy Irish Book Awards 2010. In June 2011, Murphy registered a civil partnership with his male partner of 26 years, Terry O'Sullivan, a psychotherapist, at a ceremony in Dublin.	
Equal	http://dbpedia.org/resource/Milen_Nachev	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Shen_Yun_Performing_Arts	Since 2012, Mr. Nachev has been a conductor with **Shen Yun Performing Arts**—an international touring company based in New York.	Milen attended the Saint Petersburg Conservatory in Russia. There, he received his Master’s Degree in Symphonic and Opera conducting. Nachev was Artistic Director & Conductor of the Bulgarian National Radio Symphony Orchestra (BNR) from 1994 until 2002, where he conducted recordings that were broadcast by the BBC. In November 1997, EMI/Virgin released the CD 'Mozart in Egypt', which was conducted by Nachev while with the BNR Symphony Orchestra. Since 2012, Mr. Nachev has been a conductor with Shen Yun Performing Arts—an international touring company based in New York.	
Equal	http://dbpedia.org/resource/Rick_Sirvaitis	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Storeboard_Media	He is the Past President of **Storeboard Media** LLC, a media sales company with the exclusive right to place advertisements on security pedestals in stores across the United States.	Rick Sirvaitis is an advertising executive in New York City and currently involved as an advisor to PlanetXLaw, Access Legal Care, TAPPP, Pypestream and Vizability. He is the Past President of Storeboard Media LLC, a media sales company with the exclusive right to place advertisements on security pedestals in stores across the United States. He is also President of his own consulting company: RS MediaMarketing LLC. He has been a consultant to such clients as the NFL Network, the Television Bureau, Gemstar-TV Guide International and Google TV Ads among others and has most recently been retained as an Entrepreneur in Residence for Constellation Ventures. He is also the former President and Chief Operating Officer of GM Mediaworks (a division of Interpublic Group of Companies), the consolidated media buying unit for all General Motors divisions including network and cable television purchasing in New York, as well as all print and Internet buying and a Cyberworks research and development unit in Detroit.	
Equal	http://dbpedia.org/resource/Shin_Fujiyama	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Students_Helping_Honduras	He and his sister, Cosmo Fujiyama, incorporated **Students Helping Honduras** in 2007 after visiting Honduras on a service learning trip for the first time.	Shin Fujiyama is a Japanese-American philanthropist who co-founded Students Helping Honduras. He graduated from the University of Mary Washington in 2007 with a Bachelor's degree in International Affairs and Pre-medicine. He and his sister, Cosmo Fujiyama, incorporated Students Helping Honduras in 2007 after visiting Honduras on a service learning trip for the first time. Shin speaks four languages fluently: Japanese, English, Spanish and Portuguese.	
Equal	http://dbpedia.org/resource/Bob_Bates	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Zynga	From 2011–2014, Bates was Chief Creative Officer for External Studios at **Zynga**.	Robert "Bob" Bates (born December 11, 1953) is an American computer games designer. One of the early designers of interactive fiction games, he was co-founder of Challenge, Inc., which created games in the 1980s for the pioneering company Infocom. After Infocom's dissolution in 1989, Bates co-founded Legend Entertainment to continue publishing games in the Infocom tradition, but with added graphics. He has designed, written, or produced scores of games, including Unreal II (2003), Spider-Man 3 (2007), and Eric the Unready (1993), listed as Adventure Game of the Year by Computer Gaming World magazine and also included on the 1996 list of "150 best games of all time". In 1998 he wrote the award-winning game Quandaries for the U.S. Department of Justice. He has twice been the chairperson of the International Game Developers Association, which honored him with a Lifetime Achievement Award in 2010. Bates has written extensively about game design and development in works such as the 2001 book Game Design: The Art and Business of Creating Games, which is commonly used as a game design textbook in college courses. From 2011–2014, Bates was Chief Creative Officer for External Studios at Zynga. He continues to work as an independent consultant with various publishers in the games industry.	
Equal	http://dbpedia.org/resource/Edward_A._Pierce	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/E.A._Pierce_&_Co.	Pierce was most notable for leading the firm of A.A. Housman & Company through the 1920s and 1930s and turning the firm into the largest brokerage in the U.S. The firm, which was renamed **E.A. Pierce & Co.** in recognition of Pierce was one of the predecessors of Merrill Lynch, Pierce, Fenner & Smith.	Edward Allen Pierce (August 31, 1874 – December 16, 1974 was an American businessman and stock broker. Pierce was most notable for leading the firm of A.A. Housman & Company through the 1920s and 1930s and turning the firm into the largest brokerage in the U.S. The firm, which was renamed E.A. Pierce & Co. in recognition of Pierce was one of the predecessors of Merrill Lynch, Pierce, Fenner & Smith.	
Equal	http://dbpedia.org/resource/Marc_Brown_(journalist)	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/KIEM-TV		Marc Alan Brown (born September 29, 1961) is an American television news anchor at KABC-TV in Los Angeles. Brown co-anchors the station's Eyewitness News HD newscasts at 5PM and 11PM with Michelle Tuzee. Brown has earned four Emmy Awards, a Golden Mike, an Associated Press and a Radio and Television News Director Association award. Brown graduated from Narbonne High School (Class of 1979) in Los Angeles' Harbor City neighborhood and earned Bachelor of Arts degrees in Broadcast Journalism and Political Science from the University of Southern California. His first television job was as a reporter at KIEM-TV in Eureka, California in 1984. He went on to report and anchor at KOLO-TV in Reno, Nevada, KNTV in San Jose, California and KFMB-TV in San Diego, California before returning to Los Angeles to begin working at KABC-TV in 1989 as a reporter. He later was named weekend anchor and by 1996, he was given anchoring duties on the weekday 6PM newscast. The following year his anchoring duties were broadened to include the station's 4PM newscast and in 2000, he was named anchor of the weeknight 11PM newscast. He became the second African-American to become the primary anchor of an 11PM weeknight newscast in Los Angeles. Ken Jones was the first with KTTV (now FOX 11) in the 1970s. In August 2007, he, along with co-anchor Michelle Tuzee were moved to the 5 p.m. newscast, in addition to the anchoring of the 11PM program.	
Equal	http://dbpedia.org/resource/Simone_Legno	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Tokidoki	Simone Legno (born June 16, 1977) is an Italian artist best known for the creation of the tokidoki brand.	Simone Legno (born June 16, 1977) is an Italian artist best known for the creation of the tokidoki brand. Legno's designs are influenced by his interest in Japan and its culture, as well as street art and graffiti.	
Equal	http://dbpedia.org/resource/Henry_Turner_(endocrinologist)	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/University_of_Oklahoma_College_of_Medicine	He served as chief of endocrinology and as associate dean of the **University of Oklahoma College of Medicine**.	Henry H. Turner (August 28, 1892 – August 4, 1970) was an American endocrinologist, noted for his published description of Turner Syndrome in 1938 at the annual meeting of the Association for the Study of Internal Secretions. He served as chief of endocrinology and as associate dean of the University of Oklahoma College of Medicine. Turner was born in Harrisburg, Illinois. He received his medical education at the University of Louisville School of Medicine, graduating in 1921. He died in Oklahoma City, Oklahoma in 1970.	
Equal	http://dbpedia.org/resource/François_Castaing	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/American_Motors	He is an engineering graduate from École Nationale Supérieure d'Arts et Métiers in Paris, and worked in Europe for Gordini and Renault before being named Vice President for Product Engineering and Development at **American Motors** Corporation (AMC).	François J. Castaing (born 1945 in Marseille) is a veteran automotive executive with Renault, American Motors, and Chrysler. He is an engineering graduate from École Nationale Supérieure d'Arts et Métiers in Paris, and worked in Europe for Gordini and Renault before being named Vice President for Product Engineering and Development at American Motors Corporation (AMC).	
Contains	http://dbpedia.org/resource/Alexander_Sergeyevich_Yakovlev	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Yakovlev	**Yakovlev** was a member of the Communist Party of the Soviet Union from 1938.	Alexander Sergeyevich Yakovlev (Russian: Алекса́ндр Серге́евич Я́ковлев; 1 April [O.S. 19 March] 1906 – 22 August 1989) was a Soviet aeronautical engineer. He designed the Yakovlev military aircraft and founded the Yakovlev Design Bureau. Yakovlev was a member of the Communist Party of the Soviet Union from 1938.	
Equal	http://dbpedia.org/resource/Alexander_Sergeyevich_Yakovlev	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Yakovlev	**Yakovlev** was a member of the Communist Party of the Soviet Union from 1938.	Alexander Sergeyevich Yakovlev (Russian: Алекса́ндр Серге́евич Я́ковлев; 1 April [O.S. 19 March] 1906 – 22 August 1989) was a Soviet aeronautical engineer. He designed the Yakovlev military aircraft and founded the Yakovlev Design Bureau. Yakovlev was a member of the Communist Party of the Soviet Union from 1938.	
Equal	http://dbpedia.org/resource/Rie_Takada	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Shogakukan	She still writes primarily for Sho-Comi, with her serialized works also published in collected volumes by **Shogakukan**, the company that publishes Sho-Comi.	Rie Takada (高田 りえ Takada Rie) (born August 10) is a Japanese manga artist. She debuted in 1990 in the 17th issue of the manga anthology magazine Sho-Comi with the series SP girl. She still writes primarily for Sho-Comi, with her serialized works also published in collected volumes by Shogakukan, the company that publishes Sho-Comi.	
Equal	http://dbpedia.org/resource/Dumitru_Matcovschi	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Academy_of_Sciences_of_Moldova	Dumitru Matcovschi (20 October 1939 – 26 June 2013) was a writer from Moldova who was a member of the **Academy of Sciences of Moldova**.	Dumitru Matcovschi (20 October 1939 – 26 June 2013) was a writer from Moldova who was a member of the Academy of Sciences of Moldova. He was a founder of the Popular Front of Moldova.	
Equal	http://dbpedia.org/resource/Petru_Soltan	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Academy_of_Sciences_of_Moldova	He was a member of the **Academy of Sciences of Moldova** and an honorary member of the Romanian Academy.	Petru Soltan (June 29, 1931 – July 15, 2016) was a Moldovan mathematician. He was a member of the Academy of Sciences of Moldova and an honorary member of the Romanian Academy. Petru Soltan was a member of the Mathematical Society of Moldova. Petru Soltan served as member of the Parliament of Moldova (1990–1994) and is a leader of the Democratic Forum of Romanians in Moldova. He died on 15 July 2016 at the age of 86.	
Equal	http://dbpedia.org/resource/Marvin_Humes	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/BBC_One	Since 2014, Humes has hosted **BBC One**'s The Voice UK with Emma Willis as well as creating a DJ-Producer-dance act LuvBug.	Marvin Richard James Humes (born 18 March 1985) is an English singer, actor, television presenter and radio DJ, best known as a former member of the boyband JLS, the runner-up boyband to Alexandra Burke in the fifth series of The X Factor. After a successful five years, JLS split in December 2013. Since 2014, Humes has hosted BBC One's The Voice UK with Emma Willis as well as creating a DJ-Producer-dance act LuvBug.	
Equal	http://dbpedia.org/resource/Shawn_Hamerlinck	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Black_Hawk_College	He is an adjunct faculty member at **Black Hawk College** and Augustana College.	Shawn Hamerlinck is a Republican Iowa state senator, representing the 42nd District since 2008. He sits on these committees: Economic Growth, Education, Local Government, Rebuild Iowa (Ranking Member), Ways and Means, Appropriations Subcommittee on Transportation, Infrastructure, and Capitals, and the Appropriations Subcommittee. In 2005, and again in 2007, he was elected an alderman for Davenport's second ward. He is an adjunct faculty member at Black Hawk College and Augustana College. U.S. Senator Charles Grassley's Hawkeye PAC (a leadership PAC) donated $3000 to Hamerlinck's campaign on October 18, 2008. Hamerlinck endorsed Tim Pawlenty in the Iowa caucus phase of the Republican Party presidential primaries, 2012.	
Equal	http://dbpedia.org/resource/Betty_Liu	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Bloomberg_L.P.	Betty W. Liu is a news anchor for Bloomberg Television, a subsidiary of **Bloomberg L.P.**	Betty W. Liu is a news anchor for Bloomberg Television, a subsidiary of Bloomberg L.P. An award-winning business journalist, Liu regularly interviews influential business, political and media leaders including Warren Buffett, Carlos Slim, Ted Turner and Lloyd Blankfein.	
Equal	http://dbpedia.org/resource/Chandra_Levy	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Federal_Bureau_of_Prisons		Chandra Ann Levy (April 14, 1977 – c. May 1, 2001) was an American intern at the Federal Bureau of Prisons in Washington, D.C., who disappeared in May 2001. She was presumed murdered after her skeletal remains were found in Rock Creek Park in May 2002. The case attracted attention from the American news media for years. The police investigation revealed she was having an affair with Congressman Gary Condit, a married Democrat then serving his fifth term representing California's 18th congressional district, and a senior member of the House Permanent Select Committee on Intelligence. Condit was never named as a suspect by police and was eventually cleared of involvement. However, due to the cloud of suspicion raised by the intense media focus on the missing intern and the later revelation of the affair, Condit lost his bid for re-election in 2002. On March 3, 2009, D.C. authorities obtained a warrant to arrest , an illegal immigrant from El Salvador. He had been convicted of assaulting two other women in Rock Creek Park around the time of Levy's disappearance. Prosecutors alleged that Guandique had attacked and tied up Levy in a remote area of the park and left her to die of dehydration or exposure. In November 2010 Guandique was convicted of murdering Levy; he was sentenced in February 2011 to 60 years in prison. In June 2015, Guandique was granted a new trial. On July 28, 2016, prosecutors announced that they would not proceed with the case against Guandique and would, instead, seek to have him deported.	
