number of equals = 1350				
number of contains = 605				
Kind of Match	Subject	Relation	Object	Context
Equal	Jack Halpern (linguist)	Occupation	Lexicographer	Jack Halpern (春遍雀來, ハルペン・ジャック) is a Japan-based lexicographer specializing in Chinese characters or kanji. He is best known as editor-in-chief of the Kodansha Kanji Learner's Dictionary and as the inventor of the SKIP system for kanji lookup. Halpern is also an active unicyclist, having served as founder and president of the International Unicycling Federation. He currently resides in Saitama, Japan.
Equal	Alexander of Abonoteichus	Occupation	Oracle	Alexander of Abonoteichus (Ancient Greek: Ἀλέξανδρος ὁ Ἀβωνοτειχίτης), also called Alexander the Paphlagonian (c. 105-c. 170 CE), was a Greek mystic and oracle, and the founder of the Glycon cult that briefly achieved wide popularity in the Roman world. The contemporary writer Lucian reports that he was an utter fraud – the god Glycon was supposedly constructed out of a glove puppet. The vivid narrative of his career given by Lucian might be taken as fictitious but for the corroboration of certain coins of the emperors Lucius Verus and Marcus Aurelius and of a statue of Alexander, said by Athenagoras to have stood in the forum of Parium.
Equal	Alison Bettles	Occupation	Actress	Alison Bettles (born 22 April 1969) is a retired English television actress. She is known for playing Fay Lucas in BBC's Grange Hill for six series (1982–1987).
Equal	Anders Lundin	Occupation	Host	Anders Erik Lundin (born 8 September 1958 in Stockholm) is a Swedish television host, comedian and lyricist. Lundin was one of the first hosts in the world to host the show Expedition Robinson, also known as Survivor. Lundin co-hosted the Eurovision Song Contest 2000 along with Kattis Ahlström and, 2003–10, was every summer host for the successful song show Allsång på Skansen. He has also hosted the show Allt för Sverige which takes Americans to Sweden to learn more about their Swedish ancestry.
Equal	Björn Gunnlaugsson	Occupation	Mathematician	Björn Gunnlaugsson (25 September 1788 – 17 March 1876) was an Icelandic mathematician and cartographer. For the Icelandic Literary Society, he surveyed the country from 1831 to 1843. The results of his work were published in a topographic map of Iceland at a scale of 1:480,000 on four sheets. It was the first complete map of Iceland and, although generally dated to 1844, was not completed until 1848. It was published under the direction of Olaf Nikolas Olsen in Copenhagen. In 1849, a smaller edition on one sheet at a scale of 1:960,000 appeared. For his survey work, Björn received the Order of the Dannebrog in 1846 and the French Légion d'honneur in 1859.
Equal	Brendan McWilliams	Occupation	Meteorologist	Brendan McWilliams (7 August 1944 – 22 October 2007) was an Irish meteorologist and science writer. He was born in Dublin in 1944 but grew up in Waterville, County Kerry where his father was in charge of the Valentia Observatory. He graduated in science from University College Cork (UCC) in 1964. He joined the Meteorological Service in 1965 and worked as a weather forecaster, first at Shannon Airport and later at the Central Analysis and Forecast Office in Dublin. During the 1970s he was a regular presenter of the daily weather forecast on Raidió Teilifís Éireann (RTÉ) television.
Equal	Julio Cervera Baviera	Occupation	Engineer	Julio Cervera Baviera (26 January 1854 – 24 June 1927) was a Spanish engineer, pioneer in the development of radio, educator, explorer, and military man. He also authored various scientific and geographic books and articles.
Equal	Cayetana Guillén Cuervo	Occupation	Actress	Cayetana Guillén Cuervo, (Madrid, June 13, 1969) is a Spanish actress and TV presenter. Her parents, Fernando Guillén and Gemma Cuervo, and her brother, Fernando are also actors.
Equal	Christopher Pinchbeck	Occupation	Clockmaker	Christopher Pinchbeck, also called Catarrón (c. 1670 – 18 November 1732) was a London clockmaker and maker of musical automata. He was born in Clerkenwell, England, but worked in Fleet Street. He is the most famous member of the Pinchbeck family, from which a small village in Lincolnshire took its name.
Equal	Dilip Joshi	Occupation	Actor	Dilip Joshi (born 26 May 1968) is an Indian film and television actor. He has appeared in a number of serials as well as films. He acts mostly in comedy and is currently playing the role of Jethalal Champaklal Gada in Taarak Mehta Ka Ooltah Chashmah.
Equal	George Ryton	Occupation	Engineer	George Ryton (born 15 August 1948 in Singapore) is a British engineer best known for his involvement in Formula One auto racing.
Contains	Turpin Bannister	Occupation	Historians	Turpin Chambers Bannister (1 October 1904 – 15 March 1982) was one of the leading American architectural historians of his generation. A long-time professor at the University of Illinois and the University of Florida, he is best known for his work in architectural history, including his work with The Society of Architectural Historians, and editorship of The Journal of the Society of Architectural Historians.
Contains	Turpin Bannister	Occupation	Historians	Turpin Chambers Bannister (1 October 1904 – 15 March 1982) was one of the leading American architectural historians of his generation. A long-time professor at the University of Illinois and the University of Florida, he is best known for his work in architectural history, including his work with The Society of Architectural Historians, and editorship of The Journal of the Society of Architectural Historians.
Contains	William Powell	Occupation	Actor	William Horatio Powell (July 29, 1892 – March 5, 1984) was an American actor. A major star at Metro-Goldwyn-Mayer, he was paired with Myrna Loy in 14 films, including the popular Thin Man series based on the Nick and Nora Charles characters created by Dashiell Hammett. Powell was nominated for the Academy Award for Best Actor three times: for The Thin Man (1934), My Man Godfrey (1936), and Life with Father (1947).
Equal	Anne Graham Lotz	Occupation	Evangelist	Anne McCue Graham Lotz (born May 21, 1948) is an American Christian evangelist. She is the second daughter of evangelist Billy Graham and his wife Ruth Graham. She founded AnGeL Ministries, and is the author of 11 books, of which her best known is Just Give Me Jesus.
Equal	Aqua Mizuto	Occupation	Artist	Aqua Mizuto (水都 あくあ Mizuto Akua) is a manga artist who debuted in Shōjo Comic Extra in 1997 with Sakura no Hanasaku Negaigoto. She has published well over 30 short series, though her most popular are Yume Kira Dream Shoppe (published in English by Viz Media), Tenjin, Ranmaki Origami, Nighting + Night, and Almightly X 10.
Equal	Brian Aker	Occupation	Hacker	Brian Aker, born August 4, 1972 in Lexington, Kentucky, USA is an open-source hacker who has worked on various Apache modules, the Slash system, and numerous storage engines for the MySQL database. Aker was Director of Architecture at MySQL AB until it was acquired by Sun Microsystems. He led Sun's web scaling research group, where he worked on the Drizzle database project. He later became a Distinguished Engineer for Sun Microsystems. He left Sun Microsystems after Oracle acquired it. After leaving Sun Microsystems he became the CTO of Data Differential and provided support to open source projects such as libmemcached, Gearman and the Drizzle database project. Aker is currently a Fellow and VP at Hewlett Packard Enterprise.
Equal	Derek Boyer	Occupation	Powerlifter	Derek Boyer (born 14 June 1969) is a Fijian-Australian world champion powerlifter, former professional strongman competitor and actor.
Equal	Don Barclay (actor)	Occupation	Actor	Don Barclay (December 26, 1892 – October 16, 1975) was an American actor, artist and caricaturist whose many roles stretched the period from the Keystone Cops in 1915 to Mary Poppins in 1964 and whose many paintings and caricatures of celebrities filled establishments worldwide and are archived in the Library of Congress.
Equal	Eirlys Bellin	Occupation	Actress	Eirlys Bellin is a Welsh actress, character comedian and voice-over artist from Cowbridge in South Wales.
Equal	Emily Gimmel	Occupation	Journalist	Emily Gimmel (born May 17, 1984) is an American journalist, entrepreneur, businesswoman, and television personality.
Equal	Gail Vaz-Oxlade	Occupation	Writer	Gail Vaz-Oxlade (born June 18, 1959 in Jamaica) is a Jamaican-Canadian financial writer and television personality who lives in Brighton, Ontario, Canada. Vaz-Oxlade hosts the Canadian television series Til Debt Do Us Part, Princess and, most recently, Money Moron. Vaz-Oxlade is also a regular columnist for Yahoo! Canada Finance. Previously, she was a regular feature writer for The Globe and Mail, Chatelaine magazine, IE: Money, and MoneySense.ca, among others. Gail most recently ventured into the divorce realm by offering financially-based divorce services through Common Sense Divorce.
Equal	George Worsley Adamson	Occupation	Illustrator	George Worsley Adamson, RE, MCSD (7 February 1913 – 5 March 2005 in Exeter, Devon) was a book illustrator, writer, and cartoonist, who held American and British dual citizenship from 1931.
Equal	James Avalon	Occupation	Director	James Avalon is an American adult film director, cinematographer, editor, writer, and producer. His aliases include Kunga Sludge, Mondo Tundra and Monty Tundra.
Equal	Joey Lawrence (photographer)	Occupation	Photographer	Joey Lawrence (born November 5, 1989 in Lindsay, Ontario, Canada), more commonly known by his professional name, Joey L, is a Canadian professional photographer who currently resides in Brooklyn, New York.
Equal	Kenshō Ono	Occupation	Actor	Kenshō Ono (小野 賢章 Ono Kenshō, born October 5, 1989 in Fukuoka Prefecture) is a Japanese actor, voice actor and singer. He was formerly represented by Sunaoka Office and is now represented by Animo Produce. In Japan, he is most well known for voicing Harry Potter in the Japanese dubs of the Harry Potter film series, and has also appeared in numerous anime and Japanese television drama series. He is also known for playing Muromachi Tōji from the well-known Prince of Tennis Musical.
Equal	Leonard R. Brand	Occupation	Biologist	Leonard Brand is a Seventh-day Adventist creationist, biologist, paleontologist, and author. He is the chair professor of Loma Linda University Department of Earth and Biological Sciences.
Equal	Marci Bowers	Occupation	Gynecologist	Marci Lee Bowers (born January 18, 1958) is an American gynecologist who operated a surgical practice in Trinidad, Colorado. She moved her practice to San Mateo, California, in December 2010. Bowers is viewed as an innovator in the field of sex reassignment surgery, as well as a pioneer, being the first trans woman to be performing the surgery. Bowers has been referred to as the "Rock Star" of transgender surgery.
