14	Mark Trafton	Children	Adeline Trafton	Section	4	Adeline Trafton	exact	In 1836 Trafton married Eliza Young of East Pittston, Maine. The Traftons had six children including sons John and James Trafton, and daughter, writer Adeline Trafton	http://nif.dbpedia.org/wiki/en/Mark_Trafton?dbpv=2016-10&nif=phrase&char=1216,1231
15	Hosni Mubarak	Children	Alaa Mubarak	Section	5	Alaa Mubarak	exact	In April 2016, Alaa Mubarak	http://nif.dbpedia.org/wiki/en/Hosni_Mubarak?dbpv=2016-10&nif=phrase&char=32595,32607
16	Georges Pompidou	Children	Alain Pompidou	Section	4	Alain Pompidou	exact	Pompidou's wife Claude Pompidou lived more than thirty years past his death. The couple had one son, Alain Pompidou	http://nif.dbpedia.org/wiki/en/Georges_Pompidou?dbpv=2016-10&nif=phrase&char=7205,7219
17	Alexander Gibson (industrialist)	Children	Alexander Gibson 	Section	4	Alexander Gibson Jr.	partial	The New Brunswick Legislature passed an act incorporating the Town of Marysville in April 1886. As well as naming the town after his wife and daughter, Gibson chose the pine tree as the image to appear on the town's crest. In the town's first election in January 1887, his son Alexander Gibson Jr.	http://nif.dbpedia.org/wiki/en/Alexander_Gibson_(industrialist)?dbpv=2016-10&nif=phrase&char=8803,8823
18	Edward Porter Humphrey	Children	Alexander Pope Humphrey	Section	1	Alexander Pope Humphrey	exact	On April 3, 1847, Humphrey married his second wife, Martha Pope, daughter of Alexander Pope and Martha Fontaine and widow of her cousin, Charles Pope, son of William Pope Jr., and Cynthia Sturgess. Humphrey's second son was Alexander Pope Humphrey	http://nif.dbpedia.org/wiki/en/Edward_Porter_Humphrey?dbpv=2016-10&nif=phrase&char=2258,2281
20	Alexander Stewart, Earl of Buchan	Children	Alexander Stewart, Earl of Mar	Section	3	Alexander Stewart, Earl of Mar	exact	King Robert's reputation declined because of his backing Buchan's methods and so in November 1384, John, Earl of Carrick with the backing of the general council, took executive authority from his father with lawlessness in the north being a major issue. The Lordship of Strathnairn had been administered by Buchan with the approval of the King, but now under Carrick's leadership, Sir David Lindsay was able to reassert his right to Strathnairn. In April 1385, at the council, Buchan's brother David claimed that Buchan was holding Urquhart unlawfully, while Sir James Lindsay of Crawford reinstated his claim to the Lordship of Buchan and finally, the Earl of Moray demanded that some of Buchan's men be prosecuted for the killing of some of his men. Despite these early attacks on his position, Buchan significantly strengthened his territorial position especially in the Great Glen where he retained Urquhart after his brother's death and then in the autumn of 1386 he gained the lands of Bona at the head of Loch Ness from the Earl of Moray and the adjoining lands in Abriachin from Sir Robert Chisholm. Buchan's increased influence in Scottish affairs was again furthered when sometime before February 1387, he was appointed Justiciar North of the Forth Carrick's guardianship of Scotland had not been a success and certainly failed to rein in Buchan and so late in 1388, King Robert's second son, Robert, Earl of Fife (Robert Stewart, Duke of Albany) became the effective ruler of the Kingdom. Within days Fife removed Buchan from the Justiciarship and, it is assumed, the Royal Lieutenancy and the Sheriffdom of Inverness and later installed his own son, Murdoch as Justiciar North of the Forth. Fife was very uncompromising towards Buchan, who had been described as 'useless to the community' at a previous general council meeting. Buchan had long deserted his wife and lived with Mairead nighean Eachann with whom he had a number of children, including Alexander Stewart, Earl of Mar	http://nif.dbpedia.org/wiki/en/Alexander_Stewart,_Earl_of_Buchan?dbpv=2016-10&nif=phrase&char=7761,7791
20	Alexander Stewart, Earl of Buchan	Children	Alexander Stewart, Earl of Mar	Section	5	Alexander Stewart, Earl of Mar	exact	1.   * Alexander Stewart, Earl of Mar	http://nif.dbpedia.org/wiki/en/Alexander_Stewart,_Earl_of_Buchan?dbpv=2016-10&nif=phrase&char=12709,12739
21	Leonard Lewisohn (philanthropist)	Children	Alice Lewisohn	Section	1	Alice Lewisohn	exact	He was born in Hamburg, Germany, to Jewish parents, Julie and Samuel Lewisohn. In 1863, Samuel, a prominent Hamburg merchant, sent Leonard and his brother, Julius Lewisohn, to the United States, as his firm's representatives; about three years later they were joined by their younger brother, Adolph Lewisohn, and they formed the firm of Lewisohn Brothers in January 1866. As early as 1868, the firm turned its attention to the metal trade, becoming prominent dealers in lead during that year. He married Rosalie Jacobs on June 29, 1870, in Manhattan. They had the following children: Jesse Lewisohn, Julia Lewisohn Henry (1872-1927), Walter Lewisohn, Frederick Lewisohn, Oscar Lewisohn (1884–1917), Lillie A. Lewisohn, Irene Lewisohn, Alice Lewisohn	http://nif.dbpedia.org/wiki/en/Leonard_Lewisohn_(philanthropist)?dbpv=2016-10&nif=phrase&char=844,858
22	Władysław Szpilman	Children	Andrzej Szpilman	Section	5.1	Andrzej Szpilman	exact	Szpilman's son, Andrzej Szpilman	http://nif.dbpedia.org/wiki/en/Władysław_Szpilman?dbpv=2016-10&nif=phrase&char=14293,14309
24	Elizabeth Buffum Chace	Children	Arnold Buffum Chace	Section	5	Arnold Buffum Chace	exact	Influence of the familySamuel's and Elizabeth's progeny played large roles in higher education in the 20th century. Their son, Arnold Buffum Chace	http://nif.dbpedia.org/wiki/en/Elizabeth_Buffum_Chace?dbpv=2016-10&nif=phrase&char=3302,3321
25	Arthur Hays Sulzberger	Children	Arthur Ochs Sulzberger	Section	3	Arthur Ochs Sulzberger	exact	In 1917, he married Iphigene Bertha Ochs, the daughter of Adolph Ochs and Effie Wise (the daughter of Rabbi Isaac Mayer Wise). They had four children: Miriam Sulzberger Dryfoos (born 1918), married to Orvil Dryfoos; Ruth Sulzberger Golden (born 1921), publisher of the Chattanooga Times, married and divorced from Ben Hale Gordon; Judith Sulzberger Cohen (born 1923), physician, married and divorced from Dick Cohen; and Arthur Ochs Sulzberger	http://nif.dbpedia.org/wiki/en/Arthur_Hays_Sulzberger?dbpv=2016-10&nif=phrase&char=4196,4218
26	D. A. Rajapaksa	Children	Basil Rajapaksa	Section	2.1	Basil Rajapaksa	exact	1.1. D.M. Rajapaksa (State Councilor / Senator)1.1.1. Lakshman Rajapaksa (Member of Parliament)1.1.2. George Rajapaksa (Member of Parliament, Cabinet Minister of Fisheries)1.1.2.1.Nirupama Rajapaksa (currently Deputy Minister and Member of Parliament)1.2. D.A. Rajapaksa (Member of Parliament, Deputy Minister, Deputy Speaker of Parliament, Cabinet Minister) + Dandina Samarasinghe Dissanayake1.2.1. Chamal Rajapaksa (Member of Parliament, Deputy Minister,Cabinet Minister,current Speaker) (Children, Shashindra Rajapaksa, Shameendra Rajapaksa)1.2.2. Jayanthi Rajapaksa (Children, Himal Laleendra Hettiarachchi & Rangani Hettiarachhi)1.2.3. Dr Mahinda Rajapaksa (Member of Parliament, Cabinet Minister, Leader of Opposition, Prime Minister, former President of Sri Lanka) ( Children, Namal Rajapaksa, Yoshitha Rajapaksa & Rohitha Rajapaksa)1.2.4. Chandra Rajapaksa (Children: Chaminda Rajapaksa)1.2.5. Lieutenant Colonel Dr Gotabhaya Rajapaksa (20 years in military, former Permanent Secretary to Ministry of Defence, Public Security, Law & Order)(Children :Manoj Rajapaksa)1.2.6. Basil Rajapaksa	http://nif.dbpedia.org/wiki/en/D._A._Rajapaksa?dbpv=2016-10&nif=phrase&char=5942,5957
27	Bellamy Storer (1796–1875)	Children	Bellamy Storer 	Abstract	0	Bellamy Storer (1847)	partial	Bellamy Storer (March 26, 1796 – June 1, 1875) was a U.S. Representative from Ohio, father of Bellamy Storer (1847)	http://nif.dbpedia.org/wiki/en/Bellamy_Storer_(1796–1875)?dbpv=2016-10&nif=phrase&char=94,115
28	Charles Koppelman	Children	Brian Koppelman	Section	2	Brian Koppelman	exact	By the mid-1970s, Koppelman had stepped up to Vice President/General Manager of worldwide publishing for CBS Records. In 1975, he formed The Entertainment Company with Martin Bandier and New York real estate developer and Bandier's father-in-law, Samuel LeFrak. The company independently administered and promoted song catalogs and produced music artists like Barbra Streisand, Dolly Parton, Diana Ross, the Four Tops, and Cher.By 1981 the Entertainment Company had grown into a production company with its own staff of producers and 20 in-house songwriters and in 1984, they purchased the Combine Music catalog of 25,000 country songs. Around that time Koppelman's son, Brian Koppelman	http://nif.dbpedia.org/wiki/en/Charles_Koppelman?dbpv=2016-10&nif=phrase&char=2407,2422
28	Charles Koppelman	Children	Brian Koppelman	Section	4	Brian Koppelman	exact	His son, Brian Koppelman	http://nif.dbpedia.org/wiki/en/Charles_Koppelman?dbpv=2016-10&nif=phrase&char=5864,5879
30	D. A. Rajapaksa	Children	Chamal Rajapaksa	Section	2.1	Chamal Rajapaksa	exact	1.1. D.M. Rajapaksa (State Councilor / Senator)1.1.1. Lakshman Rajapaksa (Member of Parliament)1.1.2. George Rajapaksa (Member of Parliament, Cabinet Minister of Fisheries)1.1.2.1.Nirupama Rajapaksa (currently Deputy Minister and Member of Parliament)1.2. D.A. Rajapaksa (Member of Parliament, Deputy Minister, Deputy Speaker of Parliament, Cabinet Minister) + Dandina Samarasinghe Dissanayake1.2.1. Chamal Rajapaksa	http://nif.dbpedia.org/wiki/en/D._A._Rajapaksa?dbpv=2016-10&nif=phrase&char=5261,5277
31	Catherine Deneuve	Children	Chiara Mastroianni	Section	8	Chiara Mastroianni	exact	 *  1980:  *  Dieu fumeur de havanes – by and with Serge Gainsbourg (original film soundtrack Je vous aime by Claude Berri)  *  Quand on s'aime – duet with Gérard Depardieu, for a television programme  *  1981: Her first and only album issued – Souviens-toi de m'oublier written by Serge Gainsbourg 1.   *  Digital delay 2.   *  Depression au-dessus du jardin 3.   *  Epsilon 4.   *  Monna Vanna et Miss Duncan 5.   *  Marine bond tremolo 6.   *  Ces petits riens (duet with Serge Gainsbourg) – original version performed by Gainsbourg and Juliette Gréco (1964) 7.   *  Souviens-toi de m'oublier (duet with Serge Gainsbourg) 8.   *  Overseas telegram 9.   *  What tu dis qu'est-ce tu say 10.   *  Oh Soliman 11.   *  Alice helas  *  1993: Paris Paris – by and with Malcolm McLaren  *  1997: Allo maman bobo – by Alain Souchon, during an evening with Les Enfoirés in 1997 with Alain Souchon, Jean-Jacques Goldman and Laurent Voulzy  *  1999: Joyeux anniversaire maman – by Stomy Bugsy (original film soundtrack Belle-maman by Gabriel Aghion)  *  2000: Cvalda – by and with Björk (original film soundtrack Dancer in the dark by Lars von Trier)  *  2001: Toi jamais – original film soundtrack Huit Femmes by François Ozon (original version performed by Sylvie Vartan en 1976)  *  2006: Ho capito che ti amo – original film soundtrack Le héros de la famille by Thierry Klifa  *  2010: C'est beau la vie by Jean Ferrat – original film soundtrack Potiche by François Ozon  *  2011: Tout est si calme with Clara Couste, Ludivine Sagnier and Chiara Mastroianni, Une fille légère in duet with Chiara Mastroianni	http://nif.dbpedia.org/wiki/en/Catherine_Deneuve?dbpv=2016-10&nif=phrase&char=11997,12015
31	Catherine Deneuve	Children	Chiara Mastroianni	Section	8	Chiara Mastroianni	exact	 *  1980:  *  Dieu fumeur de havanes – by and with Serge Gainsbourg (original film soundtrack Je vous aime by Claude Berri)  *  Quand on s'aime – duet with Gérard Depardieu, for a television programme  *  1981: Her first and only album issued – Souviens-toi de m'oublier written by Serge Gainsbourg 1.   *  Digital delay 2.   *  Depression au-dessus du jardin 3.   *  Epsilon 4.   *  Monna Vanna et Miss Duncan 5.   *  Marine bond tremolo 6.   *  Ces petits riens (duet with Serge Gainsbourg) – original version performed by Gainsbourg and Juliette Gréco (1964) 7.   *  Souviens-toi de m'oublier (duet with Serge Gainsbourg) 8.   *  Overseas telegram 9.   *  What tu dis qu'est-ce tu say 10.   *  Oh Soliman 11.   *  Alice helas  *  1993: Paris Paris – by and with Malcolm McLaren  *  1997: Allo maman bobo – by Alain Souchon, during an evening with Les Enfoirés in 1997 with Alain Souchon, Jean-Jacques Goldman and Laurent Voulzy  *  1999: Joyeux anniversaire maman – by Stomy Bugsy (original film soundtrack Belle-maman by Gabriel Aghion)  *  2000: Cvalda – by and with Björk (original film soundtrack Dancer in the dark by Lars von Trier)  *  2001: Toi jamais – original film soundtrack Huit Femmes by François Ozon (original version performed by Sylvie Vartan en 1976)  *  2006: Ho capito che ti amo – original film soundtrack Le héros de la famille by Thierry Klifa  *  2010: C'est beau la vie by Jean Ferrat – original film soundtrack Potiche by François Ozon  *  2011: Tout est si calme with Clara Couste, Ludivine Sagnier and Chiara Mastroianni	http://nif.dbpedia.org/wiki/en/Catherine_Deneuve?dbpv=2016-10&nif=phrase&char=11947,11965
31	Catherine Deneuve	Children	Chiara Mastroianni	Section	6	Chiara Mastroianni	exact	Deneuve has two children: actor Christian Vadim, from her relationship with Roger Vadim, and actress Chiara Mastroianni	http://nif.dbpedia.org/wiki/en/Catherine_Deneuve?dbpv=2016-10&nif=phrase&char=10289,10307
31	Catherine Deneuve	Children	Chiara Mastroianni	Section	2	Chiara Mastroianni	exact	Deneuve's more recent work in the 2010s includes Potiche (2010) with Depardieu, Les Bien-aimés (2012), in which she acts alongside former co-stars Ludivine Sagnier and Chiara Mastroianni	http://nif.dbpedia.org/wiki/en/Catherine_Deneuve?dbpv=2016-10&nif=phrase&char=5603,5621
34	Alexander Genis	Children	Daniel Genis	Abstract	0	Daniel Genis	exact	Genis, an American citizen, resides in the New York City area. He is the father of Daniel Genis	http://nif.dbpedia.org/wiki/en/Alexander_Genis?dbpv=2016-10&nif=phrase&char=271,283
35	John Custis	Children	Daniel Parke Custis	Abstract	0	Daniel Parke Custis	exact	His only surviving son, Daniel Parke Custis	http://nif.dbpedia.org/wiki/en/John_Custis?dbpv=2016-10&nif=phrase&char=1772,1791
36	Jack Watling	Children	Deborah Watling	Section	5	Deborah Watling	exact	Watling was married to former actress Patricia Hicks. He was the father of actresses Dilys Watling and Deborah Watling	http://nif.dbpedia.org/wiki/en/Jack_Watling?dbpv=2016-10&nif=phrase&char=1970,1985
37	Jack Watling	Children	Dilys Watling	Section	5	Dilys Watling	exact	Watling was married to former actress Patricia Hicks. He was the father of actresses Dilys Watling	http://nif.dbpedia.org/wiki/en/Jack_Watling?dbpv=2016-10&nif=phrase&char=1952,1965
40	Edward H. Funston	Children	Frederick Funston	Section	1	Frederick Funston	exact	He was the father of Medal of Honor recipient, Frederick Funston	http://nif.dbpedia.org/wiki/en/Edward_H._Funston?dbpv=2016-10&nif=phrase&char=1299,1316
41	Peter Arrell Brown Widener	Children	George Dunton Widener	Section	1	George Dunton Widener	exact	Widener's son, George Dunton Widener	http://nif.dbpedia.org/wiki/en/Peter_Arrell_Brown_Widener?dbpv=2016-10&nif=phrase&char=1727,1748
42	George Mason I	Children	George Mason II	Section	5	George Mason II	exact	 * George Mason II	http://nif.dbpedia.org/wiki/en/George_Mason_I?dbpv=2016-10&nif=phrase&char=2373,2388
43	George Mason II	Children	George Mason III	Section	4	George Mason III	exact	 * Ann Fowke Mason Fitzhugh Darrell Smith  * Elizabeth Mason Roy  * George Mason III	http://nif.dbpedia.org/wiki/en/George_Mason_II?dbpv=2016-10&nif=phrase&char=1562,1578
44	George Mason V	Children	George Mason VI	Abstract	0	George Mason VI	exact	His will divided Mason's Neck into two approximately equal tracts along a north-south axis from Causeway Point to Martin Cockburn's south boundary line. His eldest son George Mason VI	http://nif.dbpedia.org/wiki/en/George_Mason_V?dbpv=2016-10&nif=phrase&char=1747,1762
44	George Mason V	Children	George Mason VI	Section	1	George Mason VI	exact	 * Elizabeth Mary Ann Barnes Mason Hooe (9 March 1785–25 March 1827)  * George Mason VI	http://nif.dbpedia.org/wiki/en/George_Mason_V?dbpv=2016-10&nif=phrase&char=2222,2237
44	George Mason V	Children	George Mason VI	Section	1	George Mason VI	exact	He was a son of George Mason (1725–1792); nephew of Thomson Mason (1733–1785); first cousin of Stevens Thomson Mason (1760–1803), John Thomson Mason (1765–1824), and William Temple Thomson Mason (1782–1862); father of George Mason VI	http://nif.dbpedia.org/wiki/en/George_Mason_V?dbpv=2016-10&nif=phrase&char=2727,2742
45	John Parke Custis	Children	George Washington Parke Custis	Section	2	George Washington Parke Custis	exact	 *  Elizabeth (Eliiza) Parke Custis (1776–1831), married Thomas Law  *  Martha Parke Custis (1777–1854), married Thomas Peter  *  Eleanor (Nelly) Parke Custis (1779–1852) (born at Abingdon), married Lawrence Lewis  *  George Washington Parke Custis	http://nif.dbpedia.org/wiki/en/John_Parke_Custis?dbpv=2016-10&nif=phrase&char=4169,4200
46	D. A. Rajapaksa	Children	Gotabhaya Rajapaksa	Section	2.1	Gotabhaya Rajapaksa	exact	1.1. D.M. Rajapaksa (State Councilor / Senator)1.1.1. Lakshman Rajapaksa (Member of Parliament)1.1.2. George Rajapaksa (Member of Parliament, Cabinet Minister of Fisheries)1.1.2.1.Nirupama Rajapaksa (currently Deputy Minister and Member of Parliament)1.2. D.A. Rajapaksa (Member of Parliament, Deputy Minister, Deputy Speaker of Parliament, Cabinet Minister) + Dandina Samarasinghe Dissanayake1.2.1. Chamal Rajapaksa (Member of Parliament, Deputy Minister,Cabinet Minister,current Speaker) (Children, Shashindra Rajapaksa, Shameendra Rajapaksa)1.2.2. Jayanthi Rajapaksa (Children, Himal Laleendra Hettiarachchi & Rangani Hettiarachhi)1.2.3. Dr Mahinda Rajapaksa (Member of Parliament, Cabinet Minister, Leader of Opposition, Prime Minister, former President of Sri Lanka) ( Children, Namal Rajapaksa, Yoshitha Rajapaksa & Rohitha Rajapaksa)1.2.4. Chandra Rajapaksa (Children: Chaminda Rajapaksa)1.2.5. Lieutenant Colonel Dr Gotabhaya Rajapaksa	http://nif.dbpedia.org/wiki/en/D._A._Rajapaksa?dbpv=2016-10&nif=phrase&char=5785,5804
47	George Dunton Widener	Children	Harry Elkins Widener	Section	1	Harry Elkins Widener	exact	In 1883, he married Eleanor Elkins, the daughter of his father's business partner, William Lukens Elkins. They had two sons, Harry Elkins Widener	http://nif.dbpedia.org/wiki/en/George_Dunton_Widener?dbpv=2016-10&nif=phrase&char=772,792
49	Kaoru Hatoyama	Children	Iichirō Hatoyama	Abstract	0	Iichirō Hatoyama	exact	Kaoru Hatoyama (鳩山 薫 Hatoyama Kaoru, 1888－1982) was an educator and an administrator, the schoolmaster of Kyoritsu Women's University, which had been founded by her mother-in-law, Haruko Hatoyama. She is well known as the wife of a politician, as the spouse of Ichirō Hatoyama, who was the 52nd, 53rd and 54th Prime Minister of Japan, serving terms from December 10, 1954 through December 23, 1956. She was also known as the mother of Iichirō Hatoyama	http://nif.dbpedia.org/wiki/en/Kaoru_Hatoyama?dbpv=2016-10&nif=phrase&char=435,451
50	Leonard Lewisohn (philanthropist)	Children	Irene Lewisohn	Section	1	Irene Lewisohn	exact	He was born in Hamburg, Germany, to Jewish parents, Julie and Samuel Lewisohn. In 1863, Samuel, a prominent Hamburg merchant, sent Leonard and his brother, Julius Lewisohn, to the United States, as his firm's representatives; about three years later they were joined by their younger brother, Adolph Lewisohn, and they formed the firm of Lewisohn Brothers in January 1866. As early as 1868, the firm turned its attention to the metal trade, becoming prominent dealers in lead during that year. He married Rosalie Jacobs on June 29, 1870, in Manhattan. They had the following children: Jesse Lewisohn, Julia Lewisohn Henry (1872-1927), Walter Lewisohn, Frederick Lewisohn, Oscar Lewisohn (1884–1917), Lillie A. Lewisohn, Irene Lewisohn	http://nif.dbpedia.org/wiki/en/Leonard_Lewisohn_(philanthropist)?dbpv=2016-10&nif=phrase&char=828,842
51	Herman Maisel	Children	Ivan Maisel	Section	3	Ivan Maisel	exact	Herman was married to Freida Gutlow Maisel for 60 years.Freida gave birth to two sons (Ivan and Elliot) and one daughter (Kathy Bronstein). Herman had 10 grandchildren and one great-grandchild on the way at the time of his death. His son Ivan Maisel	http://nif.dbpedia.org/wiki/en/Herman_Maisel?dbpv=2016-10&nif=phrase&char=2154,2165
52	J. Howard Marshall	Children	J. Howard Marshall III	Section	5	J. Howard Marshall III	exact	Marshall's eldest son not only lost his case in Texas probate court but also lost a counterclaim against him for fraud with malice. The jury originally awarded Pierce Marshall $35 million in damages but the probate court reduced that amount to $10 million. J. Howard Marshall III	http://nif.dbpedia.org/wiki/en/J._Howard_Marshall?dbpv=2016-10&nif=phrase&char=8487,8509
52	J. Howard Marshall	Children	J. Howard Marshall III	Section	5	J. Howard Marshall III	exact	Marshall died of natural causes at the age of 90 in Houston, Texas on August 4, 1995. Following Marshall's death, Anna Nicole Smith (who died on February 8, 2007) became involved in a court battle with her former stepson, E. Pierce Marshall (who died on June 20, 2006). J. Howard's will and trust did not include Anna Nicole or J. Howard's other son, J. Howard Marshall III	http://nif.dbpedia.org/wiki/en/J._Howard_Marshall?dbpv=2016-10&nif=phrase&char=5971,5993
52	J. Howard Marshall	Children	J. Howard Marshall III	Section	4	J. Howard Marshall III	exact	Marshall married Eleanor Pierce in 1931 and divorced in 1961. They had two sons together: J. Howard Marshall III	http://nif.dbpedia.org/wiki/en/J._Howard_Marshall?dbpv=2016-10&nif=phrase&char=5273,5295
52	J. Howard Marshall	Children	J. Howard Marshall III	Section	3	J. Howard Marshall III	exact	Marshall turned his investment in Great Northern Oil Co. with Fred Koch during the 1950s into a 16% stake in Koch Industries, now America's second largest privately held company. When his eldest son J. Howard Marshall III	http://nif.dbpedia.org/wiki/en/J._Howard_Marshall?dbpv=2016-10&nif=phrase&char=4770,4792
55	Jimmy Hoffa	Children	James P. Hoffa	Section	8	James P. Hoffa	exact	Hoffa's son, James P. Hoffa	http://nif.dbpedia.org/wiki/en/Jimmy_Hoffa?dbpv=2016-10&nif=phrase&char=19739,19753
57	George A. Hormel	Children	Jay Catherwood Hormel	Section	2	Jay Catherwood Hormel	exact	He remained head of the company until 1929 when he passed it to his son Jay Catherwood Hormel	http://nif.dbpedia.org/wiki/en/George_A._Hormel?dbpv=2016-10&nif=phrase&char=694,715
60	Leonard Lewisohn (philanthropist)	Children	Jesse Lewisohn	Section	1	Jesse Lewisohn	exact	He was born in Hamburg, Germany, to Jewish parents, Julie and Samuel Lewisohn. In 1863, Samuel, a prominent Hamburg merchant, sent Leonard and his brother, Julius Lewisohn, to the United States, as his firm's representatives; about three years later they were joined by their younger brother, Adolph Lewisohn, and they formed the firm of Lewisohn Brothers in January 1866. As early as 1868, the firm turned its attention to the metal trade, becoming prominent dealers in lead during that year. He married Rosalie Jacobs on June 29, 1870, in Manhattan. They had the following children: Jesse Lewisohn	http://nif.dbpedia.org/wiki/en/Leonard_Lewisohn_(philanthropist)?dbpv=2016-10&nif=phrase&char=693,707
63	Daniel Parke Custis	Children	John Parke Custis	Section	3.1	John Parke Custis	exact	Upon Martha Custis's marriage to George Washington in 1759, her dower share came under his control, pursuant to the common law doctrine of seisin jure uxoris. He also became guardian of her two minor children, and administrator of the Custis estate. John Parke Custis	http://nif.dbpedia.org/wiki/en/Daniel_Parke_Custis?dbpv=2016-10&nif=phrase&char=2613,2630
64	Norman Podhoretz	Children	John Podhoretz	Section	2	John Podhoretz	exact	Podhoretz is married to author Midge Decter, and is the father of syndicated columnist and current Commentary editor-in-chief John Podhoretz	http://nif.dbpedia.org/wiki/en/Norman_Podhoretz?dbpv=2016-10&nif=phrase&char=2807,2821
