number of equals = 1350
number of contains = 605
notInAbstractList = 8272
Appoaches:
	Sbj-Obj = 1564
	Pronoun-Obj = 391
Extraction:
	In Sentence = 1914
	In Paragraph = 41
Blank Sentences = 5
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	Abstract	In Sentence	Sbj-Obj		bellmaker	http://dbpedia.org/resource/Kashpir_Ganusov	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Bellmaker	Kashpir Ganusov (Russian: Кашпир Ганусов) was a Russian bellmaker	Kashpir Ganusov (Russian: Кашпир Ганусов) was a Russian bellmaker of the 16th century. The information about Kashpir Ganusov is scarce. It is difficult to tell what nationality he was or where he came from. We can only cautiously assume that Kashpir Ganusov was one of those craftsmen who had left the Grand Duchy of Lithuania in the first half of the 16th century. According to the Moscow Cannon Yard documents and archives, Kashpir Ganusov was working at the court of Ivan the Terrible in 1550s. In 1554, the cannon yard produced a huge bell weighing 19,657 kg, which would later receive the name of Lebed’ (Лебедь, or "swan"). This bell didn’t survive to this day, but we only know of one bell maker in Moscow of that time, who could have cast it. Based on this, Kashpir Ganusov is considered the maker of this bell (or his predecessor, whose name is unknown). At a certain point in time, Kashpir Ganusov moved his activities to Smolensk. According to some documents of the 19th century, there were quite a few arquebuses along the fortress walls of Smolensk with Ganusov’s name on them (and his apprentices’ names, as well). One of the most famous pieces of ammunition made by Kashpir Ganusov is an arquebus named Ostraya Panna (Острая Панна), then located at the Government Warehouse (Казённый амбар) in Smolensk. It weighed 185 poods (3,030 kg). The engraving on this arquebus says that it was made by Kashpir Ganusov in the summer of 1564. There are no other known arquebuses with Ganusov’s name on them, but some of them have the name of his most famous apprentice – Andrei Chokhov. It happened so that Chokhov had to recast his teacher’s creation—the Lebed’ bell—after Devlet I Giray’s raid on Moscow in 1571. It is this very bell that is pictured on the so-called Kremlenagrad—the first detailed map of the Moscow Kremlin. We also know about other Ganusov’s apprentices, such as Bogdan Andreytokhov, Kuzmin Pervoy, Nikita Tupitsyn and Yuri Bochkaryov, who worked in Moscow between the second half of the 16th century and early 17th century. Semyon Dubinin, Ganusov’s apprentice in Smolensk, would later move to Pskov. So far, we know nothing about Kashpir Ganusov since he was last mentioned in a document of the late 1560s.	
Equal	Abstract	In Sentence	Sbj-Obj		actress	http://dbpedia.org/resource/Kathleen_Chalfant	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	Kathleen Chalfant (born January 14, 1945) is an American actress	Kathleen Chalfant (born January 14, 1945) is an American actress.	
Equal	Abstract	In Sentence	Sbj-Obj		sportscaster	http://dbpedia.org/resource/Kevin_Burkhardt	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Sportscaster	Kevin Burkhardt (born March 2, 1974) is an American sportscaster	Kevin Burkhardt (born March 2, 1974) is an American sportscaster. Currently one of the play-by-play voices for The NFL on FOX and formerly a reporter with SportsNet New York (SNY), Burkhardt was the field reporter during New York Mets telecasts from 2007 to 2014. He also called select Mets games during both spring training and the regular season during that time. He will be the primary studio host for Major League Baseball (MLB) telecasts on FOX and Fox Sports 1 beginning with the 2015 season.	
Equal	Abstract	In Sentence	Sbj-Obj		actor	http://dbpedia.org/resource/Lee_Deok-hwa	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actor	Lee Deok-hwa (born May 8, 1952) is a South Korean actor	Lee Deok-hwa (born May 8, 1952) is a South Korean actor.	
Equal	Abstract	In Sentence	Sbj-Obj		author	http://dbpedia.org/resource/Peter_Alan_Rayner	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Author	Alan, rather than his first to avoid confusion with Peter Seaby, also a popular author	Peter Alan Rayner (1924 – 29 July 2007) was a British author of numismatic (coin collecting) books. He was known by his second name Alan, rather than his first to avoid confusion with Peter Seaby, also a popular author, whose family firm Rayner joined at the age of 24. Rayner lived in Harpenden, Hertfordshire where he attended St George's School, Harpenden as a day boarder. During World War II he was conscripted into the mines as a Bevin Boy, although he was eventually released owing to ill health and enlisted in the Intelligence Corps. In 1948 he joined B.A. Seaby Limited as an assistant in the English Coin Department, and began to specialise in milled silver coins. In 1957 he helped prepare for print a second revised edition of the book called 'English Silver Coinage from 1649', written by H. Seaby and first published in 1949. This proved to be one of the most popular books published by B.A. Seaby Limited and further updated editions were printed in 1967, 1974, 1992 and the most recent in 2015 (republished by author Maurice Bull and printed by Spink and son). The book is used by numismatists as a main reference for all English silver coinage from 1649 to the year 1992 with a three-lettered prefixed (ESC - referring to English Silver Coinage) numbering system attributable to each coin and any variant. In 1961 Rayner wrote Your Book of Coin Collecting (published by Faber & Faber London). This presented to the new collector of coins 'a complete guide to Coin Collecting'. In 1966 he also wrote the book Coin Collecting For Amateurs published by Frederick Muller Ltd of Fleet Street. Rayner remained at Seaby's until 1974, when he left to join the English branch of the coin company Paramount. He immediately became a valued member of staff whose knowledge of silver coins was unrivalled. He also specialised in foreign coins, in particular German. He is survived by his Swiss wife Madeleine from Schaffhausen, who caused Rayner to learn Schweizerdeutsch (Swiss German), four children and eight grandchildren.	
Contains	Abstract	In Sentence	Sbj-Obj		Production Designer	http://dbpedia.org/resource/Roger_Murray-Leach	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Designer	Roger Murray-Leach (born 25 June 1943) is a British Production Designer	Roger Murray-Leach (born 25 June 1943) is a British Production Designer, who is probably best known for his work on British television series' Doctor Who and Blake's 7 in the 1970s, although he went on later to work on major feature films. He trained as an architect and joined the BBC design department in the 1970s, quickly gaining a reputation for great imagination and flair. He began working on Doctor Who when Philip Hinchcliffe took over as producer in late 1974. Hinchcliffe's vision for the series included giving a high priority to set design and he quickly realised that Murray-Leach was one of the most, if not the most, imaginative and resourceful designers on the BBC staff. Murray-Leach designed several Doctor Who serials under Hinchcliffe's reign, many of which remain amongst the most popular serials in the show's history. For the serial Planet of Evil, Murray-Leach designed an alien jungle at Ealing studios that so impressed Hinchcliffe that he wrote to the Head of the BBC design department, suggesting that Murray-Leach should be nominated for a BAFTA or a Royal Television Society Award. David Maloney, a director who had worked on a number of the Doctor Who serials designed by Murray-Leach, went on to produce Blake's 7 for the BBC and immediately secured the services of Murray-Leach to design the interior of the Liberator spacecraft. Murray-Leach was eventually nominated for a BAFTA award for his design work on the 1981 series Winston Churchill: The Wilderness Years. His talent was finally being recognised and he broke into feature films, working as production designer on Local Hero, Defence of the Realm, Clockwise and A Fish Called Wanda. His movie career extended into the 1990s with The Mighty Quinn, Twenty-One and Fierce Creatures. In recent years he has appeared in a number of television and DVD documentaries discussing his work on Doctor Who, including A Darker Side, a retrospective feature included in the 2|entertain/BBC DVD release of Planet of Evil, in which he and Hinchcliffe returned to Ealing studios to discuss the story's design and production. He lives in Wiltshire, England.	
Equal	Abstract	In Sentence	Sbj-Obj		actor	http://dbpedia.org/resource/Sam_Levinson	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actor	Sam" Levinson (born 1985) is an American actor	Samuel "Sam" Levinson (born 1985) is an American actor, screenwriter, and director. He is the son of Diana Rhodes and writer/director/actor Barry Levinson. He made his film debut in the 1992 film Toys, along with his brother Jack. He later appeared in such films as Bandits and What Just Happened? as Carl. In 2009, he co-starred as Peter Thompson in Stoic. He won the 2011 Sundance Film Festival Waldo Salt screenwriting award for his directorial debut film, Another Happy Day.	
Contains	Abstract	In Sentence	Sbj-Obj		Records of the Grand Historian	http://dbpedia.org/resource/Sima_Tan	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Historian	Sima Tan had begun the Records of the Grand Historian	Sima Tan (traditional Chinese: 司馬談; simplified Chinese: 司马谈; pinyin: Sīmǎ Tán; Wade–Giles: Ssu-ma T'an, c. 165 BC – 110 BC) was an early Chinese historian who worked under the Western Han. He studied astronomy with Tang Du, the I Ching under Yang He, and Daoism under Master Huang. He held the position of Court Astrologer (太史令) between 140-110 BC. While Sima Tan had begun the Records of the Grand Historian (Shiji), he died before it was finished. It was left to his son, Sima Qian, to complete. The year of Sima Tan's death is the year of the great imperial sacrifice fengshan zh:封禅 by Han Wudi, for which the emperor appointed the fangshi, leaving Sima behind and thus probably causing him much frustration. An essay by him has survived within the Records of the Grand Historian. In this essay, Sima Tan speaks of six philosophical lineages or "schools" (家 jiā): Confucianism (儒家 Rú jiā), Daoism (道家 Dào jiā), Legalism (法家 Fǎ jiā), Mohism (墨家 Mò jiā), School of Names (名家 Míng jiā), and School of Naturalists (陰陽家/阴阳家 Yīnyáng jiā) – the central figure of this last "school" being Zou Yan. This organization of the philosophers of the past into six schools was somewhat original. As for his assessment of these schools, it is rather biased towards Daoism as Sima Tan was a follower of Huang-Lao, an early Han form of Daoism.	
Equal	Abstract	In Sentence	Sbj-Obj		historian	http://dbpedia.org/resource/Sima_Tan	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Historian	Sima Tan had begun the Records of the Grand Historian	Sima Tan (traditional Chinese: 司馬談; simplified Chinese: 司马谈; pinyin: Sīmǎ Tán; Wade–Giles: Ssu-ma T'an, c. 165 BC – 110 BC) was an early Chinese historian who worked under the Western Han. He studied astronomy with Tang Du, the I Ching under Yang He, and Daoism under Master Huang. He held the position of Court Astrologer (太史令) between 140-110 BC. While Sima Tan had begun the Records of the Grand Historian (Shiji), he died before it was finished. It was left to his son, Sima Qian, to complete. The year of Sima Tan's death is the year of the great imperial sacrifice fengshan zh:封禅 by Han Wudi, for which the emperor appointed the fangshi, leaving Sima behind and thus probably causing him much frustration. An essay by him has survived within the Records of the Grand Historian. In this essay, Sima Tan speaks of six philosophical lineages or "schools" (家 jiā): Confucianism (儒家 Rú jiā), Daoism (道家 Dào jiā), Legalism (法家 Fǎ jiā), Mohism (墨家 Mò jiā), School of Names (名家 Míng jiā), and School of Naturalists (陰陽家/阴阳家 Yīnyáng jiā) – the central figure of this last "school" being Zou Yan. This organization of the philosophers of the past into six schools was somewhat original. As for his assessment of these schools, it is rather biased towards Daoism as Sima Tan was a follower of Huang-Lao, an early Han form of Daoism.	
Equal	Abstract	In Sentence	Sbj-Obj		comedian	http://dbpedia.org/resource/Trond_Kirkvaag	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Comedian	Trond Georg Kirkvaag (21 June 1946 – 16 November 2007) was a Norwegian comedian	Trond Georg Kirkvaag (21 June 1946 – 16 November 2007) was a Norwegian comedian, actor, impressionist, screenwriter, author, director and television host. During his 39 years at the Norwegian TV network, NRK, he produced numerous comedy television series. After his death he was widely hailed by his colleagues as possibly the greatest Norwegian TV-comedian in history. He was the son of NRK journalist and television host Rolf Kirkvaag.	
Equal	Abstract	In Sentence	Sbj-Obj		actress	http://dbpedia.org/resource/Una_McLean	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	Una McLean MBE (born 1 May 1930 in Strathaven, Scotland) is a British actress	Una McLean MBE (born 1 May 1930 in Strathaven, Scotland) is a British actress and comedian. She is best known for appearing in pantomimes. She was married to Scottish stage and film actor Russell Hunter from 1991 until his death in 2004. She trained at the Royal Scottish Academy of Music and Drama and began her career at the Byre Theatre in St Andrews in 1955. She joined the Citizens' Theatre in Glasgow in 1959. From 1965 she starred in her own show for Scottish Television, Over to Una, with Glen Michael. In 1967 she starred in Scotland's first one-woman television show, Did you see Una? She has appeared in several films, including Peter Capaldi's Strictly Sinatra in 2001. She has appeared in many pantomimes in Scotland, often starring opposite Jimmy Logan and with Stanley Baxter. She starred in Jack and the Beanstalk alongside Jimmy Logan in his last pantomime appearance at King's Theatre, Glasgow as Wondergran, a show that also featured Alyson McInnes, John Ramage, and Euan McIver.She appeared in 2007 on television in the sitcom, Still Game. She continues to play the role of Molly O'Hara in the BBC One Scotland soap opera River City.	
Equal	Abstract	In Sentence	Sbj-Obj		businessman	http://dbpedia.org/resource/Waliur_Rahman_Bhuiyan	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Businessman	Waliur Rahman Bhuiyan, OBE (born 2 July 1952) is a Bangladeshi businessman	Waliur Rahman Bhuiyan, OBE (born 2 July 1952) is a Bangladeshi businessman.	
Equal	Abstract	In Sentence	Sbj-Obj		television	http://dbpedia.org/resource/Aaron_Fa'aoso	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Television	Aaron Fa'aoso (born circa 1976), an Indigenous Australian of Torres Strait Islander, Samoan and Tongan descent, is a television	Aaron Fa'aoso (born circa 1976), an Indigenous Australian of Torres Strait Islander, Samoan and Tongan descent, is a television and film actor, screenwriter, and producer probably best known for his role on East West 101.	
Equal	Abstract	In Sentence	Sbj-Obj		actress	http://dbpedia.org/resource/Aaryn_Doyle	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	Aaryn Élan Doyle (born January 4, 1993) is a Canadian actress	Aaryn Élan Doyle (born January 4, 1993) is a Canadian actress, voice actor, singer, rapper, songwriter, dancer, and model. She is best known for her role as Lola Scott in the Disney Channel Original Movie Camp Rock. In 2008, Doyle was signed to the Ford Modeling Agency, but is currently represented by IBIS Talent Management. Doyle has represented brand lines such as Diesel and Nike, as seen in Camp Rock red carpet shots. According to media insiders, Doyle is to embark upon a new Marketing endeavour in business as well as in entertainment in 2015 with a full music media campaign in the works in order to take advantage of Doyle's vocal talents and songwriting capabilities. Doyle is also the voice of Pansy in Miss Spider's Sunny Patch Friends and Foo in The Save-Ums.	
Equal	Abstract	In Sentence	Sbj-Obj		impersonator	http://dbpedia.org/resource/Alighiero_Noschese	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Impersonator	Alighiero Noschese (Italian pronunciation: [aliˈɡjɛːro noˈskeːze]; 25 November 1932 – 3 December 1979) was an Italian TV impersonator	Alighiero Noschese (Italian pronunciation: [aliˈɡjɛːro noˈskeːze]; 25 November 1932 – 3 December 1979) was an Italian TV impersonator and actor.	
Equal	Abstract	In Sentence	Sbj-Obj		actress	http://dbpedia.org/resource/Amanda_Noar	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	Amanda Noar (born 1962) is an English actress	Amanda Noar (born 1962) is an English actress, director and choreographer and is the former wife of actor Neil Morrissey. Noar trained at the Arts Educational School. Her first television role was in the ATV schools series Starting Out (1982), written by Grazyna Monvid. Her other TV work includes roles in Stay Lucky (1993), Brookside (1999), Casualty, Lovejoy (1992), Boon (1987), Coronation Street and Hollyoaks. Stage roles include West Side Story at Her Majesty's Theatre in London and on national tour, Fields of Ambrosia at the Aldwych Theatre, London, and Fiddler on the Roof with Topol. In addition, Noar played Gypsy in Gypsy at The Grand Theatre, Swansea, and Hunyak in Chicago at The Haymarket Theatre in Leicester. She performed in Godspell on national tour, as well as roles in Sweet Charity and Cabaret. Her film work includes roles in Return of the Jedi (1983), The Zero Option (1988), I Bought a Vampire Motorcycle (1990), and The Frontline (1993). She was married to actor Neil Morrissey from 1987 to 1991 and with him she had a son, Sam Morrissey, born in 1989. She has two other children from a subsequent marriage. Noar is also the director of the musical theatre company "Impact" which has put on many shows including Fiddler on the Roof and Oliver!. The proceeds of these shows go to various charities.	
Equal	Abstract	In Sentence	Sbj-Obj		actress	http://dbpedia.org/resource/Anni-Kristiina_Juuso	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	Anni-Kristiina Juuso (Northern Sami: Ánne Risten Juuso, born 4 May 1979, Ivalo, Finland) is a Sámi actress	Anni-Kristiina Juuso (Northern Sami: Ánne Risten Juuso, born 4 May 1979, Ivalo, Finland) is a Sámi actress, who played the leading female role in the movies The Cuckoo and The Kautokeino Rebellion. She was awarded Russia's Best Actress award by both the movie academy and the press. Juuso has also received a State Movie Award, which was handed to her by Vladimir Putin. In addition to her acting career, Juuso works as a radio journalist for YLE Sámi Radio.	
Equal	Abstract	In Sentence	Sbj-Obj		actress	http://dbpedia.org/resource/Beccy_Armory	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	Beccy Armory is a television actress	Beccy Armory is a television actress, probably best known for her role as Raffalo in the Doctor Who episode The End of the World. Beccy is a dancer and comedian. In addition to her various film and TV credits she was in the original cast of Ray Cooney's Caught in the Net as Vicki Smith at the Vaudeville Theater, and she also played in Grease at the Beck Theater	
Equal	Abstract	In Sentence	Sbj-Obj		illustrator	http://dbpedia.org/resource/Bill_Davis_(artist)	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Illustrator	Davis, aka Bill Davis (born May 1949 in Venice, California) is an American illustrator	William Robert Davis, aka Bill Davis (born May 1949 in Venice, California) is an American illustrator, animation director and designer, graphic designer and painter. Davis is the founder and creative director of Mother Productions, a graphic design firm which creates animation, motion graphics, logos and other graphic designs for on-air and online purposes.	
Equal	Abstract	In Sentence	Sbj-Obj		writer	http://dbpedia.org/resource/Bill_Prady	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Writer	Bill Prady (born June 7, 1960) is a television writer	Bill Prady (born June 7, 1960) is a television writer and producer who has worked on American sitcoms and variety programs, including Married... with Children, Dream On, Star Trek: Voyager, Dharma & Greg, and Gilmore Girls and the co-creator of The Big Bang Theory and The Muppets.	
Equal	Abstract	In Sentence	Sbj-Obj		journalist	http://dbpedia.org/resource/Bob_Phillips	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Journalist	Phillips, known as Bob Phillips (born June 23, 1951), is an American television journalist	Robert Leon Phillips, known as Bob Phillips (born June 23, 1951), is an American television journalist best known for his long-running program Texas Country Reporter. In 2005, Phillips was inducted into the Silver Circle of the Lone Star Chapter of the National Academy of Television Arts and Sciences, the association that gives the Emmy Awards; the honor is extended to professionals who have spent at least twenty-five years of their career in television in Texas and have made significant contributions to their industry and their communities. Phillips was born in Dallas, Texas, where he graduated in 1969 from Bryan Adams High School. He grew up in the hotel industry with a mother whose specialty was helping hotels to establish their housekeeping staff; in a 2006 interview, Phillips stated that his first paying job was assisting the executive chef at the Dallas Hilton Hotel, adding, "I found out real fast that washing dishes was not what I wanted to do." He attended Southern Methodist University, graduating with a Bachelor of Fine Arts degree in 1973 and a Master of Liberal Arts degree in 1977. An admirer of CBS broadcast journalist Charles Kuralt, Phillips chose the same field. He began working at local CBS affiliate KDFW-TV as a gofer his first year in college, started learning to use a TV camera, and within three months was reassigned as a photographer. He got his break in March 1970 when he was sent to shoot film about a possible drowning, and no reporter was available to interview the youths involved, who had in fact survived; after preparing the equipment, Phillips stepped in forward to report the story while the camera ran itself, a procedure that would become his regular mode of operations. Initially focusing on political and sports coverage, the novice reporter pursued his goal of filming feature stories for inclusion on local broadcasts. Instead, the management decided to package his features in a separate half-hour weekend program, and 4 Country Reporter debuted in 1972. In 1986 he left Channel 4, renamed the show Texas Country Reporter, and began producing and syndicating it through his own company, Phillips Productions; the show aired in all twenty-two broadcast markets in Texas including rival station WFAA, which renamed the show 8 Country Reporter, and eventually was added to stations in neighboring Louisiana. During this time, Dairy Queen was one of the show's sponsors, which allowed Phillips to be the chain's spokesperson in its ads when promoting food items at its Texas-based restaurants. When RFD-TV launched in December 2000, Texas Country Reporter was one of its featured programs. RFD introduced the program to audiences around the nation. Phillips has been closely involved in the development of the fledgling channel since he was approached about adding his show to its lineup. As an extension of his many years in broadcast journalism, Phillips has authored several books — mostly on Texas travel and cuisine — and serves periodically as a host at Escondida, the Texas Country Reporter Hacienda and Spa, in Central Texas' Hill Country region. He has been a professor of communications at Amberton University for more than 25 years. In 2007, Phillips married KFDM-TV anchor Kelli Adkins. They currently reside in Dallas.	
Equal	Abstract	In Sentence	Sbj-Obj		actor	http://dbpedia.org/resource/Chabelo	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actor	Chabelo", is a Mexican actor	Xavier López Rodríguez (born February 17, 1935), better known as "Chabelo", is a Mexican actor and a TV host who has been working on television for over sixty years. "Chabelo" has participated in more than thirty motion pictures and recorded more than thirty musical albums. He also has produced many shows like La Cuchufleta and La Güereja Quiere Más. However, his most famous TV show was En Familia con Chabelo, which was broadcast every Sunday morning on Televisa's Canal de las Estrellas. This show consisted of contests with people from the audience, gifts and games and was mainly for children. The program ended on Sunday, December 20, 2015 after 47 years.	
