number of equals = 1612
number of contains = 51
notInAbstractList = 8396
Appoaches:
	Sbj-Obj = 855
	Pronoun-Obj = 808
Extraction:
	In Sentence = 1562
	In Paragraph = 101
Blank Sentences = 0
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	Abstract	In Sentence	Sbj-Obj		University of Amsterdam	http://dbpedia.org/resource/Geert_Lovink	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Amsterdam	Lovink earned his master's degree in political science at the University of Amsterdam	Geert Lovink (born 1959, Amsterdam) is the founding director of the Institute of Network Cultures, whose goals are to explore, document and feed the potential for socio-economical change of the new media field through events, publications and open dialogue. As theorist, activist and net critic, Lovink has made an effort in helping to shape the development of the web. Lovink is a Research Professor of Interactive Media at the Hogeschool van Amsterdam (HvA) and a Professor of Media Theory at the European Graduate School. From 2004-2013 he was an Associate Professor of New Media at the University of Amsterdam (UvA). Lovink earned his master's degree in political science at the University of Amsterdam, holds a PhD from the University of Melbourne and has been a postdoctoral fellow at the University of Queensland.	
Equal	Abstract	In Sentence	Pronoun-Obj		University of Cape Town	http://dbpedia.org/resource/Zach_de_Beer	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Cape_Town	(**he=Zach de Beer**): He completed an MB ChB degree at the University of Cape Town	Zacharias Johannes (Zach) de Beer (born Cape Town, South Africa, 11 October 1928 – 27 May 1999) was a liberal Afrikaner South African politician and businessman. He was the last leader of the liberal Progressive Federal Party and then the co-leader of the new liberal Democratic Party. Educated at Bishop's Diocesan College in Rondebosch, He completed an MB ChB degree at the University of Cape Town in 1951.	
Equal	Abstract	In Sentence	Pronoun-Obj		University of East Anglia	http://dbpedia.org/resource/Peter_Thorne_(climatologist)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_East_Anglia	(**he=Peter Thorne (climatologist)**): He graduated with a BSc in Environmental Sciences from the University of East Anglia	Peter William Thorne is a climatologist and professor of physical geography in the Department of Geography, Maynooth University. He graduated with a BSc in Environmental Sciences from the University of East Anglia in 1998, and a PhD from the School of Environmental Sciences in 2001. He previously worked at the Hadley Centre for Climate Prediction and Research and the National Climatic Data Center, and he was a senior scientist at the Nansen Environmental and Remote Sensing Center, Bergen, Norway.He is a Lead Author of the IPCC Fifth Assessment Report.	
Equal	Abstract	In Sentence	Sbj-Obj		University of Kansas	http://dbpedia.org/resource/Deanell_Reece_Tacha	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Kansas	Tacha received a B.A. from the University of Kansas	Deanell Reece Tacha (born January 26, 1946) is a retired United States federal judge who served on the United States Court of Appeals for the Tenth Circuit. Since 2011, she has been the Dean of the Pepperdine University School of Law. Born in Goodland, Kansas, Tacha received a B.A. from the University of Kansas in 1968 and a J.D. from the University of Michigan Law School in 1971. She was a White House Fellow, special assistant to the Secretary of Labor at the U.S. Department of Labor from 1971-72. She was in private practice in Washington, D.C. and Concordia, Kansas from 1973-74. She then served as Director of the Douglas County Legal Aid Clinic in Lawrence, Kansas until 1977. She was also on the faculty of the University of Kansas School of Law from 1974-85. On October 31, 1985, Tacha was nominated by President Ronald Reagan to a new seat on the United States Court of Appeals for the Tenth Circuit created by 98 Stat. 333. She was confirmed by the United States Senate on December 16, 1985, and received her commission the same day. She served as Chief Judge of the Circuit from 2001–08, and was succeeded by Robert Harlan Henry. She also served as a member of the U.S. Sentencing Commission from 1994-98. In 2008, Tacha received the 26th Annual Edward J. Devitt Distinguished Service to Justice Award from the American Judicature Society. Tacha took senior status on January 27, 2011. On February 10, 2011, Tacha was named Dean of the Pepperdine University School of Law. She retired from the bench on June 1, 2011, to begin her position as Dean of Pepperdine's law school.	
Contains	Abstract	In Sentence	Pronoun-Obj		University of Kansas School of Law	http://dbpedia.org/resource/Deanell_Reece_Tacha	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Kansas	(**she=Deanell Reece Tacha**): She was also on the faculty of the University of Kansas	Deanell Reece Tacha (born January 26, 1946) is a retired United States federal judge who served on the United States Court of Appeals for the Tenth Circuit. Since 2011, she has been the Dean of the Pepperdine University School of Law. Born in Goodland, Kansas, Tacha received a B.A. from the University of Kansas in 1968 and a J.D. from the University of Michigan Law School in 1971. She was a White House Fellow, special assistant to the Secretary of Labor at the U.S. Department of Labor from 1971-72. She was in private practice in Washington, D.C. and Concordia, Kansas from 1973-74. She then served as Director of the Douglas County Legal Aid Clinic in Lawrence, Kansas until 1977. She was also on the faculty of the University of Kansas School of Law from 1974-85. On October 31, 1985, Tacha was nominated by President Ronald Reagan to a new seat on the United States Court of Appeals for the Tenth Circuit created by 98 Stat. 333. She was confirmed by the United States Senate on December 16, 1985, and received her commission the same day. She served as Chief Judge of the Circuit from 2001–08, and was succeeded by Robert Harlan Henry. She also served as a member of the U.S. Sentencing Commission from 1994-98. In 2008, Tacha received the 26th Annual Edward J. Devitt Distinguished Service to Justice Award from the American Judicature Society. Tacha took senior status on January 27, 2011. On February 10, 2011, Tacha was named Dean of the Pepperdine University School of Law. She retired from the bench on June 1, 2011, to begin her position as Dean of Pepperdine's law school.	
Equal	Abstract	In Sentence	Sbj-Obj		University of Kansas	http://dbpedia.org/resource/Don_Hill_(politician)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Kansas	Hill has been on the faculty of the University of Kansas	Donald Hill is a Republican member of the Kansas House of Representatives, representing the 60th district. He has served since 2003. Since 1975, Hill has been on the faculty of the University of Kansas Pharmacy School. He was also worked as a Pharmacist / Chief Executive Officer with Hill's Apothecary Incorporated, The Medicine Shoppe, and was a Medical Service Officer in the U.S. Army. He has his BA in Pharmacy from the University of Kansas. Hill is currently a member of the Kansas Pharmacy Service Corporation and President of the Emporia Rotary Club. He has previously been involved with the Emporia Regional Development Association, National Community Pharmacists Association, Emporia Chamber of Commerce, Kansas Pharmacist Association, and the Emporia Arts Council.	
Equal	Abstract	In Sentence	Pronoun-Obj		University of Leeds	http://dbpedia.org/resource/Piers_Sellers	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Leeds	(**he=Piers Sellers**): he gained a doctorate in biometeorology from the University of Leeds	Piers John Sellers, OBE (born 11 April 1955) is a British-American meteorologist, and a NASA astronaut. He is a veteran of three space shuttle missions.Sellers attended Cranbrook School, Cranbrook, Kent, United Kingdom, until 1973, and achieved a bachelor's degree in ecological science from the University of Edinburgh in 1976. In 1981 he gained a doctorate in biometeorology from the University of Leeds. In 2011, Sellers retired from the NASA Astronaut Corps. Before joining the astronaut corps, Sellers worked at NASA Goddard Space Flight Center on research into how the Earth's biosphere and atmosphere interact. This work involved climate system computer modeling and field work utilizing aircraft, satellites and ground support input.	
Equal	Abstract	In Sentence	Pronoun-Obj		University of Melbourne	http://dbpedia.org/resource/Peter_Corke	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Melbourne	(**he=Peter Corke**): He received Bachelor of Engineering, Masters of Engineering and PhD degrees from University of Melbourne	Peter Corke is an Australian roboticist known for his work on Visual Servoing, field robotics and the MATLAB Toolboxes for Robotics and Machine Vision. He is currently director of the Australian Research Council Centre of Excellence for Robotic Vision , and a Professor of Robotics and Control at Queensland University of Technology (QUT). At QUT his research is concerned with robotic vision, flying robots and robots for agriculture. He received Bachelor of Engineering, Masters of Engineering and PhD degrees from University of Melbourne in Australia and is a Fellow of the IEEE. He served as editor-in-chief of the IEEE Robotics & Automation magazine from 2009 to 2013, and is a founding editor of the Journal of Field Robotics After graduation in 1981 he worked at the University of Melbourne, first as a research assistant and later as a lecturer. His work was concerned with computer-aided control system design (CACSD) and real-time control implementation, and he taught digital control applications and computer architectures. In 1984 he commenced with CSIRO where he worked on robotic force control for deburring, flexible manufacturing systems, and custom architectures of high-speed computer vision. He developed an open-source robot control system and vision applications in food processing and for real-time traffic monitoringHe spent 9 months at the GRASP Laboratory at University of Pennsylvania in 1988/9 before returning to Australia and commencing his PhD on the topic of Visual Servoing. He co-authored an early tutorial paper and later proposed the partitioned approach to visual control. In 1995 he moved to Brisbane and established a program of research into mining automation focussed on Dragline excavators, rope shovels and load-haul-dump (LHD) units. He founded the Autonomous Systems laboratory of the CSIRO ICT Centre, and served as Research Director from 2004–2007. From 2005–9 he worked on wireless sensor network technology, was a co-developer of the Fleck wireless sensor node, and investigated applications to environmental monitoring and agriculture, and virtual fencing.He was a Senior Principal Research Scientist when he left to take up a chair at QUT in 2010.	
Equal	Abstract	In Sentence	Sbj-Obj		Yale Law School	http://dbpedia.org/resource/Paul_Gewirtz	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Yale_Law_School	Paul D. Gewirtz (born May 12, 1947) is the Potter Stewart Professor of Constitutional Law at Yale Law School	Paul D. Gewirtz (born May 12, 1947) is the Potter Stewart Professor of Constitutional Law at Yale Law School and the Director of the China Center at Yale.	
Equal	Abstract	In Sentence	Sbj-Obj		Yale Law School	http://dbpedia.org/resource/Sonia_Sotomayor	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Yale_Law_School	Sotomayor graduated summa cum laude from Princeton University in 1976 and received her J.D. from Yale Law School	Sonia Maria Sotomayor (/ˈsoʊnjə ˈsoʊtəˌmaɪər/, Spanish: [ˈsonja sotomaˈʝor]; born June 25, 1954) is an Associate Justice of the Supreme Court of the United States, serving since August 2009. She has the distinction of being its first justice of Hispanic heritage, the first Latina, its third female justice, and its twelfth Roman Catholic justice. Sotomayor, along with John Roberts and Elena Kagan, is one of the youngest justices on the Supreme Court. Sotomayor was born in The Bronx, New York City, to Puerto Rican-born parents. Her father died when she was nine, and she was subsequently raised by her mother. Sotomayor graduated summa cum laude from Princeton University in 1976 and received her J.D. from Yale Law School in 1979, where she was an editor at the Yale Law Journal. She was an advocate for the hiring of Latino faculty at both schools. She worked as an assistant district attorney in New York for four and a half years before entering private practice in 1984. She played an active role on the boards of directors for the Puerto Rican Legal Defense and Education Fund, the State of New York Mortgage Agency, and the New York City Campaign Finance Board. Sotomayor was nominated to the U.S. District Court for the Southern District of New York by President George H. W. Bush in 1991; confirmation followed in 1992. In 1997, she was nominated by President Bill Clinton to the U.S. Court of Appeals for the Second Circuit. Her nomination was slowed by the Republican majority in the United States Senate, but she was eventually confirmed in 1998. On the Second Circuit, Sotomayor heard appeals in more than 3,000 cases and wrote about 380 opinions. Sotomayor has taught at the New York University School of Law and Columbia Law School. In May 2009, President Barack Obama nominated Sotomayor to the Supreme Court following the retirement of Justice David Souter. Her nomination was confirmed by the Senate in August 2009 by a vote of 68–31. Sotomayor has supported, while on the court, the informal liberal bloc of justices when they divide along the commonly perceived ideological lines. During her tenure on the Supreme Court, Sotomayor has been identified with concern for the rights of defendants, calls for reform of the criminal justice system, and making impassioned dissents on issues of race, gender and ethnic identity.	
Equal	Abstract	In Sentence	Sbj-Obj		Brigham Young University	http://dbpedia.org/resource/Boyd_Petersen	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Brigham_Young_University	Boyd Jay Petersen (born February 23, 1962) is program coordinator for Mormon Studies at Utah Valley University (UVU) and teaches English and literature at UVU and Brigham Young University	Boyd Jay Petersen (born February 23, 1962) is program coordinator for Mormon Studies at Utah Valley University (UVU) and teaches English and literature at UVU and Brigham Young University (BYU). He has also been a biographer of Hugh Nibley, a candidate for the Utah House of Representatives, and president of the Association for Mormon Letters. He was named editor of Dialogue: A Journal of Mormon Thought for the term 2016-2020.	
Equal	Abstract	In Sentence	Sbj-Obj		Carnegie Mellon University	http://dbpedia.org/resource/Red_Whittaker	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Carnegie_Mellon_University	Red Whittaker is a roboticist and research professor of robotics at Carnegie Mellon University	Red Whittaker is a roboticist and research professor of robotics at Carnegie Mellon University. He led Tartan Racing to its first-place victory in the DARPA Grand Challenge (2007) Urban Challenge  and brought Carnegie Mellon University the two million dollar prize. Previously, Whittaker also competed for the DARPA Grand Challenge placing second and third place simultaneously, in the Grand Challenge Races. Whittaker is currently the Fredkin Research Professor at Carnegie Mellon University's Robotics Institute as well as the Director of the Field Robotics Center and Chief Scientist of the Robotics Engineering Consortium, both located at the university. He is also leading the CMU team which is competing for the Google Lunar X Prize. As the Chairman and CSO of Astrobotic Technology, Whittaker will play an instrumental role in further lunar development.	
Equal	Abstract	In Sentence	Pronoun-Obj		St John's College, Cambridge	http://dbpedia.org/resource/William_Yates_Peel	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/St_John's_College,_Cambridge	(**he=William Yates Peel**): He was educated at Harrow and St John's College, Cambridge	William Yates Peel (3 August 1789 – 1 June 1858), was a British Tory politician. Peel was the second son of Sir Robert Peel, 1st Baronet, and his first wife Ellen (née Yates). He was the younger brother of Prime Minister Sir Robert Peel, 2nd Baronet, and the elder brother of Jonathan Peel. He was educated at Harrow and St John's College, Cambridge. Peel sat as Member of Parliament for Bossiney from 1817 to 1818, for Tamworth from 1818 to 1830, 1835 to 1837 and in 1847, for Yarmouth from 1830 to 1831 and for Cambridge University from 1831 to 1832 and served under the Duke of Wellington as Under-Secretary of State for the Home Department from 1828 to 1830 and as a Lord of the Treasury under Wellington in 1830 and again under his brother Sir Robert Peel from 1834 to 1835. In 1834 he was admitted to the Privy Council.	
Equal	Abstract	In Sentence	Sbj-Obj		Trinity College, Cambridge	http://dbpedia.org/resource/Paul_Tucker_(banker)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Trinity_College,_Cambridge	Tucker was educated at Codsall High School, Wolverhampton, and graduated from Trinity College, Cambridge	Sir Paul Tucker (born 24 March 1958) is a retired British economist and central banker. He was formerly the Deputy Governor of the Bank of England, with responsibility for financial stability, and served on the Bank's Monetary Policy Committee from June 2002 until October 2013 and its interim and then full Financial Policy Committee from June 2011. In November 2012 he was turned down for the position of Governor in favour of Mark Carney and in June 2013, Tucker announced that he would leave the Bank of England. He was knighted in the 2014 New Year Honours for services to central banking. Tucker was educated at Codsall High School, Wolverhampton, and graduated from Trinity College, Cambridge, where he studied maths and philosophy. He joined the Bank of England very shortly afterwards, in 1980. He was appointed Deputy Governor of the Bank of England with effect from March 2009. In July 2012, a memo released by the Wall Street Journal suggested that Tucker may have implicitly pressured Barclays to manipulate its Libor submissions by relaying a message from senior members of the UK government that "it did not always need to be the case that [Barclays] appeared as high as [Barclays] has recently."	
Equal	Abstract	In Sentence	Pronoun-Obj		University of Bonn	http://dbpedia.org/resource/Carlos_Bertulani	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Bonn	(**he=Carlos Bertulani**): He graduated, PhD, at University of Bonn	Carlos A. Bertulani is a Brazilian & American theoretical physicist and professor at the Department of Physics of the Texas A&M University-Commerce. He graduated, PhD, at University of Bonn and is working on nuclear physics and nuclear astrophysics. He was formerly a professor at the Federal University of Rio de Janeiro from 1980-2000.	
Equal	Abstract	In Sentence	Sbj-Obj		University of California, Berkeley	http://dbpedia.org/resource/George_W._Chang	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_California,_Berkeley	George W. Chang is a professor and a resident faculty member at the University of California, Berkeley	George W. Chang is a professor and a resident faculty member at the University of California, Berkeley. He resides on campus with his wife Abby, while he is currently an Associate Professor Emeritus in the Department of Nutritional Sciences and Toxicology.	
Equal	Abstract	In Sentence	Pronoun-Obj		University of Chicago	http://dbpedia.org/resource/Dianne_Pinderhughes	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Chicago	(**she=Dianne Pinderhughes**): She holds a B.A. from Albertus Magnus College and an M.A. and Ph.D. in Political Science from the University of Chicago	Dianne Marie Pinderhughes (born 1947), is Full Professor in the Departments of Africana Studies and Political Science at the University of Notre Dame, and former President of the American Political Science Association. She holds a B.A. from Albertus Magnus College and an M.A. and Ph.D. in Political Science from the University of Chicago. Pinderhughes sits on the editorial board of the Journal of Women, Politics & Policy.	
Equal	Abstract	In Sentence	Pronoun-Obj		University of Manitoba	http://dbpedia.org/resource/Richard_Spink_Bowles	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Manitoba	(**he=Richard Spink Bowles**): He later served as Chancellor of the University of Manitoba	Richard Spink Bowles (November 16, 1912 – July 9, 1988) was a lawyer and office holder in Manitoba, Canada. He served as the province's 16th Lieutenant Governor from 1965 to 1970. Bowles had no political experience prior to his appointment as Lt. Governor, and was only the second non-political appointee to the position (James Duncan McGregor was the first, although McGregor had previously worked for the federal government in a non-partisan capacity). Bowles was born in Winnipeg, Manitoba, and was educated at the University of Manitoba and Manitoba Law School. He practiced law from 1937 to 1965, starting his own firm in 1940. He became the first President of Winnipeg's Home and School Association in 1952, and was Chairman of the Winnipeg Board of Parks and Recreation in 1956-57. He was named President of the Manitoba Bar Association in 1961, and also served as President of the Law Society of Manitoba in 1964-65. His appointment as Lt. Governor came in recognition of his legal and community work. The position was primarily ceremonial by this time. Bowles might have been entrusted with determining Manitoba's government after the inclusive 1969 election, but the defection of Liberal MLA Laurent Desjardins to the New Democratic Party made this unnecessary. Bowles returned to private law practice after his term in office ended. In 1969, he presented an essay on Adams George Archibald (the first Lt. Governor of Manitoba) to the Manitoba Historical Society. He later served as Chancellor of the University of Manitoba from 1974 to 1977. In 1972, Bowles campaigned for the federal House of Commons as a Liberal, in the rural riding of Lisgar. Due to the prestige of his former office, there was widespread speculation that he would be appointed to the cabinet of Prime Minister Pierre Trudeau if elected. As it happened, however, he lost to Progressive Conservative Jack Murta by 17253 votes to 4469, and did not return to political life thereafter.	
Equal	Abstract	In Sentence	Sbj-Obj		University of Manitoba	http://dbpedia.org/resource/Richard_Spink_Bowles	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Manitoba	Bowles was born in Winnipeg, Manitoba, and was educated at the University of Manitoba	Richard Spink Bowles (November 16, 1912 – July 9, 1988) was a lawyer and office holder in Manitoba, Canada. He served as the province's 16th Lieutenant Governor from 1965 to 1970. Bowles had no political experience prior to his appointment as Lt. Governor, and was only the second non-political appointee to the position (James Duncan McGregor was the first, although McGregor had previously worked for the federal government in a non-partisan capacity). Bowles was born in Winnipeg, Manitoba, and was educated at the University of Manitoba and Manitoba Law School. He practiced law from 1937 to 1965, starting his own firm in 1940. He became the first President of Winnipeg's Home and School Association in 1952, and was Chairman of the Winnipeg Board of Parks and Recreation in 1956-57. He was named President of the Manitoba Bar Association in 1961, and also served as President of the Law Society of Manitoba in 1964-65. His appointment as Lt. Governor came in recognition of his legal and community work. The position was primarily ceremonial by this time. Bowles might have been entrusted with determining Manitoba's government after the inclusive 1969 election, but the defection of Liberal MLA Laurent Desjardins to the New Democratic Party made this unnecessary. Bowles returned to private law practice after his term in office ended. In 1969, he presented an essay on Adams George Archibald (the first Lt. Governor of Manitoba) to the Manitoba Historical Society. He later served as Chancellor of the University of Manitoba from 1974 to 1977. In 1972, Bowles campaigned for the federal House of Commons as a Liberal, in the rural riding of Lisgar. Due to the prestige of his former office, there was widespread speculation that he would be appointed to the cabinet of Prime Minister Pierre Trudeau if elected. As it happened, however, he lost to Progressive Conservative Jack Murta by 17253 votes to 4469, and did not return to political life thereafter.	
Equal	Abstract	In Sentence	Sbj-Obj		University of Southampton	http://dbpedia.org/resource/Dania_Nassief	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Southampton	Dania graduated in 2002 from University of Southampton	Dania Nassief (born 1974) is an independent film producer and managing partner in the Saudi company Eggdancer Productions. Nassief and her partner Danya M. Alhamrani are the first women in Saudi Arabia allowed to own and manage a production company without a male business manager. Dania graduated in 2002 from University of Southampton, United Kingdom with an MSc. Degree in Information Systems majoring in e-business/e-commerce.	
Equal	Abstract	In Sentence	Sbj-Obj		Yale University	http://dbpedia.org/resource/Stephen_C._Stearns	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Yale_University	Stephen C. Stearns (born December 12, 1946, in Kapaau, Hawaii and raised in Hawi, Hawaii), an American biologist, is the Edward P. Bass Professor of Ecology and Evolutionary Biology at Yale University	Stephen C. Stearns (born December 12, 1946, in Kapaau, Hawaii and raised in Hawi, Hawaii), an American biologist, is the Edward P. Bass Professor of Ecology and Evolutionary Biology at Yale University. He is known for his work in life history theory and evolutionary medicine.	
Equal	Abstract	In Sentence	Pronoun-Obj		Cornell University	http://dbpedia.org/resource/Ralph_Perlman	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Cornell_University	(**he=Ralph Perlman**): He received his undergraduate degree from Cornell University	Ralph R. Perlman (May 16, 1917 – May 24, 2013) was the state budget director in his adopted U.S. state of Louisiana, having served under four governors of both parties from 1967 until 1988. Thereafter, Perlman continued to hold other public service positions. Perlman was born in New York City, the only son of a Jewish couple of European descent, Harry and Bessie Perlman. He received his undergraduate degree from Cornell University in Ithaca, New York, and a master's in business from Columbia University in New York City. During World War II, Perlman served with distinction in the European Theater as an artillery officer with the United States Army 63rd Infantry Division. While stationed at Camp Van Dorn in Mississippi, he met and subsequently married the former Carol Herzberg, who was also Jewish. The Perlmans established residence in Baton Rouge, where he was first engaged in business. Carol Perlman died of cancer in 1981; in 1984, Perlman remarried. In 1964, Governor John McKeithen appointed Perlman as the executive assistant to the commissioner of administration, W. W. McDougall. In 1966, he briefly joined the staff of then-State Representative J. Bennett Johnston, Jr., a Shreveport lawyer, who subsequently became a state senator in 1968 and a U.S. senator in 1972. In 1967, Governor McKeithen named Perlman as state budget director. In that capacity he developed the Office of State Group Benefits, which handles the medical claims of state employees and retirees. He also oversaw the state's $5 million investment in the 1984 Louisiana World Exposition held in New Orleans. In 1988, Perlman became the special assistant for finance under Governors Buddy Roemer, Edwin Edwards, and Murphy J. Foster, Jr. In 1997, Foster appointed Perlman secretary of the Louisiana Gaming Control Board, a position that he held for five years. In 2002, then University of Louisiana System President Sally Clausen hired him as a special assistant. According to Clausen, whom Perlman considered his "goddaughter", Perlman "treated every budget as though it was coming out of his own pocket. ... If I was running the state, I’d want Ralph Perlman watching my dollars. ... In the first year [as executive assistant], he saved me a million dollars from minor stuff. He was a magician in common sense." Son Gerald Lee "Jerry" Perlman (born c. 1947) of Shreveport, Louisiana, described his father as "very detail-oriented, and he always had all the facts at his fingertips. He had a very retentive memory.” Perlman died in a Baton Rouge hospice at the age of ninety-six after a brief illness. In addition to his son, he was survived by his second wife of twenty-nine years, Billie Williams Perlman (born c. 1927), his daughter-in-law, Francine Perlman, two grandchildren, and a stepdaughter. In 2011, Perlman was inducted into the Louisiana Political Museum and Hall of Fame in Winnfield.	
Equal	Abstract	In Sentence	Sbj-Obj		Loyola College, Chennai	http://dbpedia.org/resource/Vishal_(actor)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Loyola_College,_Chennai	Vishal studied Visual Communications at Loyola College, Chennai	Vishal Krishna Reddy (born 29 August 1977) is an Indian film actor and producer who works in the Tamil film industry. Most of his films are dubbed into his native language Telugu. The younger son of film producer G. K. Reddy, Vishal studied Visual Communications at Loyola College, Chennai. He produces films under his production company, Vishal Film Factory. He made an entrance into the film industry as an assistant director for Arjun. He then became an actor and played his first lead role in the romantic thriller Chellamae (2004), before going on to star in the commercially successful films, Sandakozhi (2005) and Thimiru (2006). Following a series of unsuccessful films at the box office, Vishal chose to create his own production studio and has since produced and worked on profitable ventures such as Pandiya Naadu (2013) and Naan Sigappu Manithan (2014). Vishal was elected as the General Secretary of the Nadigar Sangam in October 2015 after initiating a movement against the previous committee.	
Equal	Abstract	In Sentence	Pronoun-Obj		Michigan State University	http://dbpedia.org/resource/Debra_D._Austin	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Michigan_State_University	(**she=Debra D. Austin**): She earned a bachelor's degree in English from Michigan State University	Debra Dabney Austin is a Professor at Florida State University, and she served as Chancellor of the State University System of Florida from 2003 - 2005. Austin is originally from Michigan. She earned a bachelor's degree in English from Michigan State University, and a Master's degree in English from the University of Florida. She received her Masters in Business Administration and a Doctorate in Higher Education Administration from Florida State University. Prior to becoming chancellor, Austin served Assistant Vice President for Academic Affairs at Florida State University.	
Equal	Abstract	In Sentence	Sbj-Obj		Moscow State University	http://dbpedia.org/resource/Pavel_Alexandrov	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Moscow_State_University	Alexandrov attended Moscow State University	Pavel Sergeyevich Alexandrov (Russian: Па́вел Серге́евич Алекса́ндров), sometimes romanized Paul Alexandroff or Aleksandrov (7 May 1896 – 16 November 1982), was a Soviet mathematician. He wrote about three hundred papers, making important contributions to set theory and topology.In topology, the Alexandroff compactification and the Alexandrov topology are named after him. Alexandrov attended Moscow State University where he was a student of Dmitri Egorov and Nikolai Luzin. Together with Pavel Urysohn, he visited the University of Göttingen in 1923 and 1924. After getting his Ph.D. in 1927, he continued to work at Moscow State University and also joined the Steklov Mathematical Institute. He made lifelong friends with Andrey Kolmogorov, about whomhe said: "In 1979 this friendship [with Kolmogorov] celebrated its fiftieth anniversary and over the whole of this half century there was not only never any breach in it, there was also never any quarrel, in all this time there was never any misunderstanding between us on any question, no matter how important for our lives and our philosophy; even when our opinions on one of these questions differed, we showed complete understanding and sympathy for the views of each other." According to some researchers, the two were involved in a homosexual relationship in the 1930s, while others deny this and suppose that this rumour was spread in the 1950s in order to rehabilitate them as the participants of the Luzin affair. Alexandrov was an active participant in the political offensive against Luzin which is known as the Luzin affair (1936). He had a number of students, including Aleksandr Kurosh, Lev Pontryagin and Andrey Tychonoff. He was made a member of the Russian Academy of Sciences in 1953. Pavel Alexandrov should not be confused with Aleksandr Danilovich Aleksandrov, another mathematician at the Steklov Institute.	
Equal	Abstract	In Sentence	Sbj-Obj		Pennsylvania State University	http://dbpedia.org/resource/Robert_Witt_(American_academic)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Pennsylvania_State_University	Witt received his bachelor's degree in economics in 1962 from Bates College, his M.B.A. from Dartmouth College and his Ph.D. from Pennsylvania State University	Witt received his bachelor's degree in economics in 1962 from Bates College, his M.B.A. from Dartmouth College and his Ph.D. from Pennsylvania State University. He is also a member of the Phi Delta Theta Fraternity.	
